index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
57,Gilbert's Potoroo,Endangered Mammals of Australia,Potorous gilbertii,Potorous tridactylus ssp. gilbertii,Mammals,CR-IUCN: 2008,Australia
58,Golden Bandicoot,Endangered Mammals of Australia,Isoodon auratus,NA,Mammals,VU-IUCN: 2008,Australia
59,Golden-mantled Tree-kangaroo,Endangered Mammals of Australia,Dendrolagus pulcherrimus,NA,Mammals,CR-IUCN: 2008,Papua New Guinea
60,Goodfellow's Tree-kangaroo,Endangered Mammals of Australia,Dendrolagus goodfellowi,"Dendrolagus buergersi, Dendrolagus shawmayeri, Ornate Tree-kangaroo",Mammals,EN-IUCN: 2008,Papua New Guinea
61,Gould's Mouse,Endangered Mammals of Australia,Pseudomys gouldii,NA,Mammals,"EN-US FWS: June 4, 1973",Australia
62,Gray Dorcopsis,Endangered Mammals of Australia,Dorcopsis luctuosa,NA,Mammals,VU-IUCN: 2008,"Indonesia, Papua New Guinea"
63,Gray-headed Flying Fox,Endangered Mammals of Australia,Pteropus poliocephalus,NA,Mammals,VU-IUCN: 2008,Australia
64,Greater Monkey-faced Bat,Endangered Mammals of Australia,Pteralopex flanneryi,NA,Mammals,CR-IUCN: 2008,"Papua New Guinea, Solomon Islands"
65,Greater Stick-nest Rat,Endangered Mammals of Australia,Leporillus conditor,House-building Rat,Mammals,"VU-IUCN: 2008EN-US FWS: June 4, 1973",Australia
66,Grizzled Tree Kangaroo,Endangered Mammals of Australia,Dendrolagus inustus,NA,Mammals,VU-IUCN: 2008,"Indonesia, Papua New Guinea"
67,Hector's Dolphin,Endangered Mammals of Australia,Cephalorhynchus hectori,"New Zealand Dolphin, White-headed Dolphin",Mammals,EN-IUCN: 2008,"New Zealand (North Is., South Is.)"
68,Himalayan Tahr,Endangered Mammals of Australia,Hemitragus jemlahicus,NA,Mammals,NT-IUCN: 2008,"China, India, Nepal, New Zealand, South Africa"
69,Indo-pacific Hump-backed Dolphin,Endangered Mammals of Australia,Sousa chinensis,Chinese White Dolphin,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Middle East, Oceanic, South America"
70,Javan Rusa,Endangered Mammals of Australia,Rusa timorensis,"Javan Deer, Rusa Deer, Timor Deer, Cervus celebensis, C. hippelaphus, C. lepidus, C. moluccensis, C. peronii, C. russa, C. tavistocki, C. timorensis, C. tunjuc",Mammals,VU-IUCN: 2008,"Australia, Indian Ocean (Reunion), Indonesia, Mauritius, New Caledonia, New Zealand, Papua New Guinea, Timor-Leste"
71,Kangaroo Island Dunnart,Endangered Mammals of Australia,Sminthopsis aitkeni,"Antechinomys aitkeni, Sminthopsis murina",Mammals,CR-IUCN: 2008,Australia
72,Kowari,Endangered Mammals of Australia,Dasyuroides byrnei,"Brush-tailed Marsupial Rat, Kayer Rat, Byrne's Crest-tailed Marsupial Rat, Bushy-tailed Marsupial Rat",Mammals,VU-IUCN: 2008,Australia
73,Large Desert Marsupial-mouse,Endangered Mammals of Australia,Sminthopsis psammophila,"Sandhill Dunnart, Antechinomys psammophila",Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Australia
74,Large-eared Pied Bat,Endangered Mammals of Australia,Chalinolobus dwyeri,NA,Mammals,NT-IUCN: 2008,Australia
75,Leadbeater's Possum,Endangered Mammals of Australia,Gymnobelideus leadbeateri,NA,Mammals,"EN-US FWS: May 16, 1986EN-IUCN: 2008",Australia
76,Lemuroid Ringtail Possum,Endangered Mammals of Australia,Hemibelideus lemuroides,NA,Mammals,NT-IUCN: 2008,Australia (Queensland)
77,Lesser Rabbit Bandicoot,Endangered Mammals of Australia,Macrotis leucura,NA,Mammals,"EN-US FWS: December 2, 1970",Australia
78,Lesser Stick-nest Rat,Endangered Mammals of Australia,Leporillus apicalis,White-tipped Stick-nest Rat,Mammals,CR-IUCN: 2008,Australia
79,Lesuer's Rat-kangaroo,Endangered Mammals of Australia,Bettongia lesueur,"Burrowing Bettong, Boodie",Mammals,"NT-IUCN: 2008EN-US FWS: December 2, 1970",Australia
80,Little Planigale,Endangered Mammals of Australia,Planigale ingrami subtilissima,NA,Mammals,"EN-US FWS: December 2, 1970",Australia
81,Long-footed Potoroo,Endangered Mammals of Australia,Potorous longipes,NA,Mammals,EN-IUCN: 2008,Australia
82,Long-tailed Marsupial-mouse,Endangered Mammals of Australia,Sminthopsis longicaudata,NA,Mammals,"EN-US FWS: December 2, 1970",Australia
83,Mahogany Glider,Endangered Mammals of Australia,Petaurus gracilis,NA,Mammals,EN-IUCN: 2008,Australia
84,Makira Flying Fox,Endangered Mammals of Australia,Pteropus cognatus,NA,Mammals,EN-IUCN: 2008,Solomon Islands
85,Monjon,Endangered Mammals of Australia,Petrogale burbidgei,"Warabi, Burbridge's Rock Weasel",Mammals,NT-IUCN: 2008,Australia
86,Moss-forest Blossom Bat,Endangered Mammals of Australia,Syconycteris hobbit,NA,Mammals,VU-IUCN: 2008,"Indonesia, Papua New Guinea"
87,Mountain Pademelon,Endangered Mammals of Australia,Thylogale lanatus,NA,Mammals,EN-IUCN: 2008,Papua New Guinea
88,Mountain Pygmy Possum,Endangered Mammals of Australia,Burramys parvus,"Broom's Pygmy-possum, Burramys",Mammals,"EN-US FWS: December 2, 1970CR-IUCN: 2008",Australia
89,New Holland Mouse,Endangered Mammals of Australia,Pseudomys novaehollandiae,NA,Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2008",Australia
90,New Zealand Sea Lion,Endangered Mammals of Australia,Phocarctos hookeri,Hooker's Sea Lion,Mammals,VU-IUCN: 2008,"Australia (Macquarie Is.), New Zealand"
91,Northern Brush-tailed Phascogale,Endangered Mammals of Australia,Phascogale pirata,"Brush-tailed Phascogale, P. tapoatafa, P. tapoatafa ssp. pirata",Mammals,VU-IUCN: 2008,Australia
92,Northern Hairy-nosed Wombat,Endangered Mammals of Australia,Lasiorhinus krefftii,"Barnard's Hairy-nosed Wombat, Yaminon, formerly Lasiorhinus barnardi and Lasiorhinus gillespiei, Queensland Hairy-nosed Wombat",Mammals,"EN-US FWS: December 2, 1970CR-IUCN: 2008",Australia
93,Northern Hopping-mouse,Endangered Mammals of Australia,Notomys aquilo,Australian Native Mouse,Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976",Australia
94,Northern Quoll,Endangered Mammals of Australia,Dasyurus hallucatus,Satanellus hallucatus,Mammals,EN-IUCN: 2008,Australia
95,Numbat,Endangered Mammals of Australia,Myrmecobius fasciatus,Banded Anteater,Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Australia
96,Ornate Flying Fox,Endangered Mammals of Australia,Pteropus ornatus,NA,Mammals,VU-IUCN: 2008,New Caledonia
97,Parma Wallaby,Endangered Mammals of Australia,Macropus parma,NA,Mammals,"NT-IUCN: 2008EN-US FWS: December 2, 1970",Australia
98,Pig-footed Bandicoot,Endangered Mammals of Australia,Chaeropus ecaudatus,NA,Mammals,"EN-US FWS: December 2, 1970",Australia
99,Poncelet's Giant Rat,Endangered Mammals of Australia,Solomys ponceleti,Poncelet's Naked-tailed Rat,Mammals,CR-IUCN: 2008,"Papua New Guinea, Solomon Islands"
100,Queensland Rat-kangaroo,Endangered Mammals of Australia,Bettongia tropica,"Northern Rat-kangaroo, Northern Bettong",Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Australia
101,Quokka,Endangered Mammals of Australia,Setonix brachyurus,Short-tailed Wallaby,Mammals,"EN-US FWS: June 4, 1973VU-IUCN: 2008",Australia
102,Rabbit Bandicoot,Endangered Mammals of Australia,Macrotis lagotis,"Bilby, Dalgyte, Greater Bilby, Greater Rabbit-eared Bandicoot",Mammals,"EN-US FWS: December 2, 1970",Australia
103,Rennell Flying Fox,Endangered Mammals of Australia,Pteropus rennelli,NA,Mammals,VU-IUCN: 2008,Solomon Islands
104,Sambar Deer,Endangered Mammals of Australia,Rusa unicolor,Cervus unicolor,Mammals,VU-IUCN: 2008,"Africa, Asia, Australia, Central America, North America (United States)"
105,Scaly-tailed Possum,Endangered Mammals of Australia,Wyulda squamicaudata,Ilangnalya,Mammals,"EN-US FWS: December 2, 1970",Australia
106,Shark Bay Mouse,Endangered Mammals of Australia,Pseudomys praeconis,"Alice Springs Mouse, Djoongari, Shaggy Mouse",Mammals,"EN-US FWS: December 2, 1970",Australia
107,Sharman's Rock Wallaby,Endangered Mammals of Australia,Petrogale sharmani,Mountain Claro Rock Wallaby,Mammals,NT-IUCN: 2008,Australia (Queensland)
108,Shortridge's Native Mouse,Endangered Mammals of Australia,Pseudomys shortridgei,"Heath Mouse, Blunt-faced Rat, Heath Rat",Mammals,"NT-IUCN: 2008EN-US FWS: December 2, 1970",Australia
109,Small Dorcopsis,Endangered Mammals of Australia,Dorcopsulus vanheurni,Lesser Forest Wallaby,Mammals,NT-IUCN: 2008,"Indonesia, Papua New Guinea"
110,Smoky Mouse,Endangered Mammals of Australia,Pseudomys fumeus,NA,Mammals,"EN-US FWS: December 2, 1970CR-IUCN: 2008",Australia
111,Solomons Flying Fox,Endangered Mammals of Australia,Pteropus rayneri,NA,Mammals,NT-IUCN: 2008,"Papua New Guinea, Solomon Islands"
112,Southern Planigale,Endangered Mammals of Australia,Planigale tenuirostris,Narrow-nosed Planigale,Mammals,"EN-US FWS: December 2, 1970",Australia
113,Tasmanian Devil,Endangered Mammals of Australia,Sarcophilus harrisii,NA,Mammals,EN-IUCN: 2008,Australia (Tasmania)
114,Tasmanian Forester Kangaroo,Endangered Mammals of Australia,Macropus giganteus tasmaniensis,NA,Mammals,"EN-US FWS: June 4, 1973",Australia (Tasmania)
115,Tasmanian Tiger,Endangered Mammals of Australia,Thylacinus cynocephalus,"Tasmanian Wolf, Thylacine",Mammals,"EN-US FWS: June 2, 1970",Australia
116,Tate's Triok,Endangered Mammals of Australia,Dactylopsila tatei,Fergusson Island Striped Possum,Mammals,EN-IUCN: 2008,Papua New Guinea
117,Temotu Flying Fox,Endangered Mammals of Australia,Pteropus nitendiensis,Pteropus sanctacrucis,Mammals,EN-IUCN: 2008,Solomon Islands
118,Western Hare Wallaby,Endangered Mammals of Australia,Lagorchestes hirsutus,"Rufous Hare-wallaby, Mala, Ormala, Wurrup",Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2016",Australia
119,Western Mouse,Endangered Mammals of Australia,Pseudomys occidentalis,NA,Mammals,"EN-US FWS: December 2, 1970",Australia
120,Western Quoll,Endangered Mammals of Australia,Dasyurus geoffroii,Chuditch,Mammals,NT-IUCN: 2008,Australia
121,Yellow-footed Rock Wallaby,Endangered Mammals of Australia,Petrogale xanthopus,Ring-tailed Rock Wallaby,Mammals,"NT-IUCN: 2008EN-US FWS: June 4, 1973",Australia
