index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
1,Admiralty Cuscus,Endangered Mammals of Australia,Spilocuscus kraemeri,Manus Island Spotted Cuscus,Mammals,NT-IUCN: 2008,Papua New Guinea
2,Alpine Wallaby,Endangered Mammals of Australia,Thylogale calabyi,Calaby's Pademelon,Mammals,EN-IUCN: 2008,Papua New Guinea
3,Arnhem Land Rock Rat,Endangered Mammals of Australia,Zyzomys maini,NA,Mammals,NT-IUCN: 2008,Australia
4,Arnhem Leaf-nosed Bat,Endangered Mammals of Australia,Hipposideros inornatus,NA,Mammals,VU-IUCN: 2008,Australia
5,Atherton Antechinus,Endangered Mammals of Australia,Antechinus godmani,NA,Mammals,NT-IUCN: 2008,Australia (Queensland)
6,Australian Sea-lion,Endangered Mammals of Australia,Neophoca cinerea,NA,Mammals,EN-IUCN: 2008,Australia
7,Australian Snubfin Dolphin,Endangered Mammals of Australia,Orcaella heinsohni,NA,Mammals,NT-IUCN: 2008,"Australia, Indonesia, Papua New Guinea"
8,Banded Hare Wallaby,Endangered Mammals of Australia,Lagostrophus fasciatus,Munning,Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Australia
9,Banks Flying Fox,Endangered Mammals of Australia,Pteropus fundatus,NA,Mammals,EN-IUCN: 2008,Vanuatu
10,Barred Bandicoot,Endangered Mammals of Australia,Perameles bougainville,"Western Barred Bandicoot, Long-nosed Bandicoot, Marl",Mammals,"EN-IUCN: 2008EN-US FWS: December 2, 1970",Australia
11,Bennett's Tree Kangaroo,Endangered Mammals of Australia,Dendrolagus bennettianus,"Dusty Tree-kangaroo, Tcharibbeena",Mammals,NT-IUCN: 2008,Australia
12,Bismarck Flying Fox,Endangered Mammals of Australia,Pteropus capistratus,NA,Mammals,NT-IUCN: 2009,Papua New Guinea
13,Bismarck Giant Rat,Endangered Mammals of Australia,Uromys neobritannicus,NA,Mammals,NT-IUCN: 2009,Papua New Guinea
14,Black Dorcopsis Wallaby,Endangered Mammals of Australia,Dorcopsis atrata,Black Forest-wallaby,Mammals,CR-IUCN: 2008,Papua New Guinea
15,Black Wallaroo,Endangered Mammals of Australia,Macropus bernardus,Bernard's Wallaroo,Mammals,NT-IUCN: 2008,Australia
16,Black-footed Rock Wallaby,Endangered Mammals of Australia,Petrogale lateralis,Black-flanked Wallaby,Mammals,NT-IUCN: 2008,Australia
17,Black-footed Tree Rat,Endangered Mammals of Australia,Mesembriomys gouldii,Djintamoonga,Mammals,NT-IUCN: 2008,Australia
18,Black-spotted Cuscus,Endangered Mammals of Australia,Spilocuscus rufoniger,NA,Mammals,CR-IUCN: 2008,"Indonesia, Papua New Guinea"
19,Blyth's Flying Fox,Endangered Mammals of Australia,Pteropus melanotus,"Black-eared Flying Fox, Christmas Island Flying Fox, P. edulis, P. modiglianii, P. natalis, P. niadicus, P. nicobaricus, P. nicobaricus, P. tytleri, P. tytleri",Mammals,VU-IUCN: 2008,"India, Indian Ocean (Christmas Island), Indonesia"
20,Bougainville Monkey-faced Bat,Endangered Mammals of Australia,Pteralopex anceps,NA,Mammals,EN-IUCN: 2008,"Papua New Guinea, Solomon Islands"
21,Bridled Nail-tailed Wallaby,Endangered Mammals of Australia,Onychogalea fraenata,Merrin,Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Australia
22,Broad-striped Dasyure,Endangered Mammals of Australia,Murexia rothschildi,Paramurexia rothschildi,Mammals,VU-IUCN: 2008,Papua New Guinea
23,Broad-toothed Mouse,Endangered Mammals of Australia,Mastacomys fuscus,Pseudomys fuscus,Mammals,NT-IUCN: 2008,Australia
24,Bronze Quoll,Endangered Mammals of Australia,Dasyurus spartacus,Satanellus spartacus,Mammals,NT-IUCN: 2008,"Indonesia, Papua New Guinea"
25,Brush-tailed Phascogale,Endangered Mammals of Australia,Phascogale tapoatafa,Phascogale tapoatafa ssp. tapoatafa,Mammals,NT-IUCN: 2008,Australia
26,Brush-tailed Rabbit Rat,Endangered Mammals of Australia,Conilurus penicillatus,Brush-tailed Tree-rat,Mammals,NT-IUCN: 2008,"Australia, Papua New Guinea"
27,Brush-tailed Rat-kangaroo,Endangered Mammals of Australia,Bettongia penicillata,"Woylie, Brush-tailed Bettong",Mammals,"EN-US FWS: December 2, 1970CR-IUCN: 2008",Australia
28,Brush-tailed Rock Wallaby,Endangered Mammals of Australia,Petrogale penicillata,"Western Rock Wallaby, Small-eared Rock-Wallaby",Mammals,NT-IUCN: 2008,Australia
29,Bulmer's Fruit Bat,Endangered Mammals of Australia,Aproteles bulmerae,"Fossil Fruit Bat, Bulmer's Flying Fox, Sikkam",Mammals,"EN-US FWS: January 23, 1984CR-IUCN: 2008",Papua New Guinea
30,Carpentarian False Antechinus,Endangered Mammals of Australia,Pseudantechinus mimulus,"Alexandria False Antechinus, Carpentarian Pseudantechinus",Mammals,EN-IUCN: 2008,Australia
31,Carpentarian Rock Rat,Endangered Mammals of Australia,Zyzomys palatalis,NA,Mammals,CR-IUCN: 2008,Australia
32,Central Rock Rat,Endangered Mammals of Australia,Zyzomys pedunculatus,"Australian Native Mouse, Central Thick-Tailed Rock Rat, MacDonnell Range Rock Rat",Mammals,"EN-US FWS: June 14, 1976CR-IUCN: 2008",Australia
33,Christmas Island Pipistrelle,Endangered Mammals of Australia,Pipistrellus murrayi,Pipistrellus tenuis ssp. murrayi,Mammals,CR-IUCN: 2010,Indian Ocean (Christmas Island)
34,Christmas Island Shrew,Endangered Mammals of Australia,Crocidura trichura,Christmas Island Musk-shrew,Mammals,CR-IUCN: 2008,Indian Ocean (Christmas Island)
35,Crescent Nail-tailed Wallaby,Endangered Mammals of Australia,Onychogalea lunata,NA,Mammals,"EN-US FWS: December 2, 1970",Australia
36,David's Spiny Bandicoot,Endangered Mammals of Australia,Echymipera davidi,David's Echymipera,Mammals,EN-IUCN: 2008,Papua New Guinea
37,Desert Bandicoot,Endangered Mammals of Australia,Perameles eremiana,NA,Mammals,"EN-US FWS: June 4, 1973",Australia
38,Desert Rat-kangaroo,Endangered Mammals of Australia,Caloprymnus campestris,Plain Rat-kangaroo,Mammals,"EN-US FWS: December 2, 1970",Australia
39,Dibbler,Endangered Mammals of Australia,Antechinus apicalis,Parantechinus apicalis,Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Australia
40,Dorias Tree-kangaroo,Endangered Mammals of Australia,Dendrolagus notatus,Ifola Tree-kangaroo,Mammals,EN-IUCN: 2008,Papua New Guinea
41,Dusky Hopping Mouse,Endangered Mammals of Australia,Notomys fuscus,NA,Mammals,VU-IUCN: 2008,Australia
42,Dusky Wallaby,Endangered Mammals of Australia,Thylogale brunii,"Dusky Pademelon, Macropus gracilis, Macropus jukesii",Mammals,VU-IUCN: 2008,"Indonesia, Papua New Guinea"
43,Dwarf Flying Fox,Endangered Mammals of Australia,Pteropus woodfordi,"Least Flying Fox, Least Fruit Bat",Mammals,VU-IUCN: 2008,Solomon Islands
44,East-coast Free-tailed Bat,Endangered Mammals of Australia,Mormopterus norfolkensis,Eastern Little Mastiff Bat,Mammals,VU-IUCN: 2008,Australia
45,Eastern Barred Bandicoot,Endangered Mammals of Australia,Perameles gunnii,NA,Mammals,NT-IUCN: 2008,Australia
46,Eastern Jerboa Marsupial,Endangered Mammals of Australia,Antechinomys laniger,"Kultarr, Jerboa Pouched-mouse, Wuhl-wuhl, Pitchi-pitchi",Mammals,"EN-US FWS: December 2, 1970",Australia
47,Eastern Long-beaked Echidna,Endangered Mammals of Australia,Zaglossus bartoni,NA,Mammals,CR-IUCN: 2008,"Indonesia, Papua New Guinea"
48,Eastern Quoll,Endangered Mammals of Australia,Dasyurus viverrinus,Eastern Native-cat,Mammals,"NT-IUCN: 2008EN-US FWS: June 4, 1973",Australia
49,Emperor Rat,Endangered Mammals of Australia,Uromys imperator,NA,Mammals,CR-IUCN: 2008,Solomon Islands
50,European Rabbit,Endangered Mammals of Australia,Oryctolagus cuniculus,Common Rabbit,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Europe, North America (including United States), South America"
51,False Water Rat,Endangered Mammals of Australia,Xeromys myoides,"False Swamp Rat, Water Mouse",Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2008",Australia
52,Field's Mouse,Endangered Mammals of Australia,Pseudomys fieldi,"Shark Bay Mouse, Alice Springs Mouse, Pseudomys praeconis",Mammals,"VU-IUCN: 2008EN-US FWS: December 2, 1970",Australia
53,Fijian Blossom Bat,Endangered Mammals of Australia,Notopteris macdonaldi,"Long-tailed Blossom Bat, Long-tailed Fruit Bat",Mammals,VU-IUCN: 2008,"Fiji, Vanuatu"
54,Gaimard's Rat-kangaroo,Endangered Mammals of Australia,Bettongia gaimardi,"Tasmanian Bettong, Eastern Bettong, Tasmanian Rat Kangaroo",Mammals,"NT-IUCN: 2008EN-US FWS: June 4, 1973",Australia
55,Ghost Bat,Endangered Mammals of Australia,Macroderma gigas,Australian False Vampire Bat,Mammals,VU-IUCN: 2008,Australia
56,Giant Bandicoot,Endangered Mammals of Australia,Peroryctes broadbenti,NA,Mammals,EN-IUCN: 2008,Papua New Guinea
