index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
1,Amazonian Manatee,Endangered Mammals of South America,Trichechus inunguis,"Amazonian Ox Manatee, South American Manatee",Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008",South America (Amazon R. Basin)
2,Andean Bear,Endangered Mammals of South America,Tremarctos ornatus,Spectacled Bear,Mammals,VU-IUCN: 2008,"Bolivia, Colombia, Ecuador, Peru, Venezuela"
3,Andean Caenolestid,Endangered Mammals of South America,Caenolestes condorensis,Andean Shrew Opossum,Mammals,VU-IUCN: 2008,Ecuador
4,Andean Cat,Endangered Mammals of South America,Felis jacobita,"Oreailurus jacobita, Andean Mountain Cat, Leopardus jacobitus, Leopardus jacobita",Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976","Argentina, Bolivia, Chile, Peru"
5,Andean Hairy Armadillo,Endangered Mammals of South America,Chaetophractus nationi,Bolivian Hairy Armadillo,Mammals,VU-IUCN: 2010,"Argentina, Bolivia, Chile, Peru"
6,Andean Night Monkey,Endangered Mammals of South America,Aotus miconax,Mono Lechuza,Mammals,VU-IUCN: 2008,Peru
7,Andean Titi Monkey,Endangered Mammals of South America,Callicebus oenanthe,Rio Mayo Titi Monkey,Mammals,CR-IUCN: 2011,Peru
8,Apeco Oldfield Mouse,Endangered Mammals of South America,Thomasomys apeco,NA,Mammals,VU-IUCN: 2008,Peru
9,Aquatic Rat,Endangered Mammals of South America,Anotomys leander,Ecuador Fish-eating Rat,Mammals,VU-IUCN: 2010,Ecuador
10,Aratathomas's Yellow Shouldered Bat,Endangered Mammals of South America,Sturnira aratathomasi,NA,Mammals,NT-IUCN: 2008,Colombia
11,Argentine Tuco-tuco,Endangered Mammals of South America,Ctenomys argentinus,NA,Mammals,NT-IUCN: 2008,Argentina
12,Atacama Myotis,Endangered Mammals of South America,Myotis atacamensis,NA,Mammals,NT-IUCN: 2008,"Chile, Peru"
13,Atlantic Titi,Endangered Mammals of South America,Callicebus personatus,"Northern Masked Titi, C. p. ssp. personatus",Mammals,VU-IUCN: 2008,Brazil
14,Ayres Black Uakari,Endangered Mammals of South America,Cacajao ayresi,NA,Mammals,VU-IUCN: 2008,Brazil
15,Azara's Tuco-tuco,Endangered Mammals of South America,Ctenomys azarae,NA,Mammals,VU-IUCN: 2008,Argentina
16,Bald Uakari,Endangered Mammals of South America,Cacajao calvus,"Red Uakari, Bald-headed Uakari, Red-and-white Uacari",Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008","Brazil, Colombia, Peru"
17,Bearded Saki,Endangered Mammals of South America,Chiropotes satanas,"Bearded Saki (CR-IUCN), Black Bearded Saki, Brown-bearded Saki; Southern Bearded Saki, Chiropotes s. satanas (EN-US FWS), Uta Hick's Bearded Saki, C. s. utahickae (EN-IUCN)",Mammals,"EN-US FWS: May 16, 1986CR-IUCN: 2008EN-IUCN: 2008",Brazil
18,Beni Titi Monkey,Endangered Mammals of South America,Callicebus modestus,"Bolivian Titi, Modest Titi, Rio Beni Titi",Mammals,EN-IUCN: 2008,Bolivia
19,Berg's Tuco-tuco,Endangered Mammals of South America,Ctenomys bergi,NA,Mammals,VU-IUCN: 2008,Argentina
20,Black Squirrel Monkey,Endangered Mammals of South America,Saimiri vanzolinii,Black-headed Squirrel Monkey,Mammals,VU-IUCN: 2008,Brazil
21,Black-crowned Dwarf Marmoset,Endangered Mammals of South America,Callibella humilis,"Callithrix humilis, Mico humilis, Roosmalen's Dwarf Marmoset",Mammals,VU-IUCN: 2008,Brazil
22,Black-faced Black Spider Monkey,Endangered Mammals of South America,Ateles chamek,"Chamek Spider Monkey, Peruvian Black Spider Monkey",Mammals,EN-IUCN: 2008,"Bolivia, Brazil, Peru"
23,Black-fronted Titi Monkey,Endangered Mammals of South America,Callicebus nigrifrons,Callicebus personatus ssp. nigrifrons,Mammals,NT-IUCN: 2008,Brazil
24,Black-headed Uakari,Endangered Mammals of South America,Cacajao melanocephalus,NA,Mammals,"EN-US FWS: June 2, 1970","Brazil, Colombia, Venezuela"
25,Black-horned Capuchin,Endangered Mammals of South America,Cebus nigritus,"Macaco-prego, Sapajus nigritus, Black Capuchin",Mammals,NT-IUCN: 2008,"Argentina, Brazil"
26,Blackbuck,Endangered Mammals of South America,Antilope cervicapra,Indian Antelope,Mammals,NT-IUCN: 2008,"Argentina, India, United States"
27,Blond Titi Monkey,Endangered Mammals of South America,Callicebus barbarabrownae,"Callicebus personatus ssp. barbarabrownae, Barbara Brown's Titi, Northern Bahian Blond Titi Monkey",Mammals,CR-IUCN: 2008,Brazil
28,Blonde Capuchin,Endangered Mammals of South America,Cebus flavius,Marcgrave's Capuchin Monkey,Mammals,CR-IUCN: 2008,Brazil
29,Blunt-eared Bat,Endangered Mammals of South America,Tomopeas ravus,NA,Mammals,VU-IUCN: 2008,Peru
30,Bolivian Chinchilla Rat,Endangered Mammals of South America,Abrocoma boliviensis,Bolivian Chincilla Rat,Mammals,CR-IUCN: 2008,Bolivia
31,Bonetto's Tuco-tuco,Endangered Mammals of South America,Ctenomys bonettoi,NA,Mammals,EN-IUCN: 2008,Argentina
32,Brazilian Arboreal Mouse,Endangered Mammals of South America,Rhagomys rufescens,NA,Mammals,NT-IUCN: 2008,Brazil
33,Brazilian Funnel-eared Bat,Endangered Mammals of South America,Natalus espiritosantensis,Natalus stramineus ssp. espiritosantensis,Mammals,NT-IUCN: 2008,Brazil
34,Brazilian Three-banded Armadillo,Endangered Mammals of South America,Tolypeutes tricinctus,NA,Mammals,VU-IUCN: 2010,Brazil
35,Brazilian Three-toed Sloth,Endangered Mammals of South America,Bradypus torquatus,Maned Three-toed Sloth,Mammals,"VU-IUCN: 2009EN-US FWS: June 2, 1970",Brazil
36,Brown-headed Spider Monkey,Endangered Mammals of South America,Ateles fusciceps,Black-headed Spider Monkey,Mammals,CR-IUCN: 2008,"Colombia, Ecuador, Panama"
37,Brumback's Night Monkey,Endangered Mammals of South America,Aotus brumbacki,Aotus lemurinus ssp. brumbacki,Mammals,VU-IUCN: 2008,Colombia
38,Buff-headed Capuchin,Endangered Mammals of South America,Cebus xanthosternos,"Cebus apella ssp. xanthosternos, Yellow-breasted Capuchin",Mammals,CR-IUCN: 2008,Brazil
39,Buffy-headed Marmoset,Endangered Mammals of South America,Callithrix flaviceps,NA,Mammals,"EN-US FWS: January 23, 1984EN-IUCN: 2008",Brazil
40,Burmeister's Armadillo,Endangered Mammals of South America,Calyptophractus retusus,"Burmeisteria retusa, Chacoan Fairy Armadillo, Greater Fairy Armadillo, Greater Pichi Ciego, Chlamyphorus retusus, Burmeisteria retusa",Mammals,DD-IUCN: 2010,"Argentina, Bolivia, Paraguay"
41,Bush Dog,Endangered Mammals of South America,Speothos venaticus,"Savannah Dog, Vinegar Dog",Mammals,NT-IUCN: 2008,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Panama, Paraguay, Peru, Suriname, Venezuela"
42,Central American Tapir,Endangered Mammals of South America,Tapirus bairdii,Baird's Tapir,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southern Mexico to Colombia and Ecuador
43,Chacoan Naked-tailed Armadillo,Endangered Mammals of South America,Cabassous chacoensis,NA,Mammals,NT-IUCN: 2010,"Argentina, Paraguay"
44,Chacoan Peccary,Endangered Mammals of South America,Catagonus wagneri,Tagua,Mammals,EN-IUCN: 2008,"Argentina, Bolivia, Paraguay"
45,Chacoan Pygmy Opossum,Endangered Mammals of South America,Chacodelphys formosa,NA,Mammals,VU-IUCN: 2008,Argentina
46,Chilean Dolphin,Endangered Mammals of South America,Cephalorhynchus eutropia,"Black Dolphin, White-bellied Dolphin",Mammals,NT-IUCN: 2008,Chile
47,Choco Broad-nosed Bat,Endangered Mammals of South America,Platyrrhinus chocoensis,NA,Mammals,EN-IUCN: 2008,"Colombia, Ecuador"
48,Chunyi,Endangered Mammals of South America,Mazama chunyi,Dwarf Brocket,Mammals,VU-IUCN: 2008,"Bolivia, Peru"
49,Cleft-headed Juliomys,Endangered Mammals of South America,Juliomys rimofrons,NA,Mammals,VU-IUCN: 2008,Brazil
50,Coastal Black-handed Titi,Endangered Mammals of South America,Callicebus melanochir,"Callicebus personatus ssp. melanochir, Southern Bahian Masked Titi",Mammals,VU-IUCN: 2008,Brazil
