index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
51,Coimbra-filho's Titi Monkey,Endangered Mammals of South America,Callicebus coimbrai,NA,Mammals,EN-IUCN: 2008,Brazil
52,Colombian Black-handed Titi,Endangered Mammals of South America,Callicebus medemi,"Callicebus torquatus ssp. medemi, Medem's Collared Titi, Medem's Titi Monkey",Mammals,VU-IUCN: 2008,Colombia
53,Colombian Night Monkey,Endangered Mammals of South America,Aotus lemurinus,"Gray-bellied Night Monkey, Grey-legged Douroucouli, Lemurine Owl Monkey, Aotus hershkovitzi, Lemurine Night Monkey,",Mammals,VU-IUCN: 2008,"Colombia, Ecuador, Venezuela"
54,Colombian Weasel,Endangered Mammals of South America,Mustela felipei,Don Felipe's Weasel,Mammals,VU-IUCN: 2008,"Colombia, Ecuador"
55,Colombian Woolly Monkey,Endangered Mammals of South America,Lagothrix lugens,Lagothrix lagotricha ssp. lugens,Mammals,CR-IUCN: 2008,Colombia (mainland)
56,Cook's Hocicudo,Endangered Mammals of South America,Oxymycterus josei,NA,Mammals,EN-IUCN: 2008,Uruguay
57,Cotton-top Marmoset,Endangered Mammals of South America,Saguinus oedipus,Cotton-headed Tamarin,Mammals,"EN-US FWS: October 19, 1976CR-IUCN: 2008",Costa Rica to Colombia
58,Crab-eating Rat,Endangered Mammals of South America,Ichthyomys hydrobates,NA,Mammals,NT-IUCN: 2008,"Colombia, Ecuador, Venezuela"
59,Crested Capuchin,Endangered Mammals of South America,Cebus robustus,"Cebus apella ssp. robustus, Robust Tufted Capuchin",Mammals,EN-IUCN: 2008,Brazil
60,Cuban Lesser Funnel-eared Bat,Endangered Mammals of South America,Chilonatalus micropus,NA,Mammals,NT-IUCN: 2008,"Colombia, Cuba, Dominican Republic, Haiti, Jamaica"
61,D'Orbigny's Tuco-tuco,Endangered Mammals of South America,Ctenomys dorbignyi,NA,Mammals,NT-IUCN: 2008,Argentina
62,Darien Small Eared Shrew,Endangered Mammals of South America,Cryptotis mera,NA,Mammals,EN-IUCN: 2008,"Colombia, Panama"
63,Dark Bolo Mouse,Endangered Mammals of South America,Necromys obscurus,"Bolomys obscurus, Dark-furred Akodont",Mammals,NT-IUCN: 2008,"Argentina, Uruguay"
64,Darwin's Fox,Endangered Mammals of South America,Pseudalopex fulvipes,Lycalopex fulvipes,Mammals,CR-IUCN: 2008,Chile (Los Lagos)
65,Definitive Leaf-eared Mouse,Endangered Mammals of South America,Phyllotis definitus,NA,Mammals,EN-IUCN: 2008,Peru
66,Dekeyser's Nectar Bat,Endangered Mammals of South America,Lonchophylla dekeyseri,NA,Mammals,NT-IUCN: 2008,Brazil
67,Dwarf Red Brocket Deer,Endangered Mammals of South America,Mazama rufina,Little Red Brocket Deer,Mammals,VU-IUCN: 2008,"Colombia, Ecuador, Peru"
68,Eastern Puna Mouse,Endangered Mammals of South America,Punomys kofordi,NA,Mammals,VU-IUCN: 2008,Peru
69,Ecuadoran Spiny Pocket Mouse,Endangered Mammals of South America,Heteromys teleus,NA,Mammals,VU-IUCN: 2008,Ecuador
70,Ecuadorian Sac-winged Bat,Endangered Mammals of South America,Balantiopteryx infusca,NA,Mammals,EN-IUCN: 2008,"Colombia, Ecuador"
71,Emily's Tuco-tuco,Endangered Mammals of South America,Ctenomys emilianus,NA,Mammals,NT-IUCN: 2008,Argentina
72,Equatorial Dog-faced Bat,Endangered Mammals of South America,Molossops aequatorianus,NA,Mammals,VU-IUCN: 2008,Ecuador
73,European Rabbit,Endangered Mammals of South America,Oryctolagus cuniculus,Common Rabbit,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Europe, North America (including United States), South America"
74,Faint-striped Opossum,Endangered Mammals of South America,Monodelphis umbristriata,Red Three-striped Opossum,Mammals,VU-IUCN: 2008,Brazil
75,Fernandez's Sword-nosed Bat,Endangered Mammals of South America,Lonchorhina fernandezi,NA,Mammals,EN-IUCN: 2008,Venezuela
76,Fernandina Galapagos Mouse,Endangered Mammals of South America,Nesoryzomys fernandinae,Fernandina Rice Rat,Mammals,VU-IUCN: 2008,Ecuador (Galapagos Islands)
77,Fossorial Giant Rat,Endangered Mammals of South America,Kunsia fronto,NA,Mammals,EN-IUCN: 2008,"Argentina, Brazil"
78,Furtive Tuco-tuco,Endangered Mammals of South America,Ctenomys occultus,NA,Mammals,EN-IUCN: 2008,Argentina
79,Galapagos Islands Fur Seal,Endangered Mammals of South America,Arctocephalus galapagoensis,NA,Mammals,EN-IUCN: 2008,Ecuador (Galapagos Islands)
80,Galapagos Rice Rat,Endangered Mammals of South America,Aegialomys galapagoensis,"Oryzomys bauri, Oryzomys galapagoensis",Mammals,VU-IUCN: 2008,Ecuador (Galapagos Islands)
81,Galapagos Sea Lion,Endangered Mammals of South America,Zalophus wollebaeki,Zalophus californianus ssp. wollebaeki,Mammals,EN-IUCN: 2008,"Colombia, Costa Rica, Ecuador"
82,Geoffroy's Cat,Endangered Mammals of South America,Leopardus geoffroyi,Oncifelis geoffroyi,Mammals,NT-IUCN: 2008,"Argentina, Bolivia, Brazil, Chile, Paraguay, Uruguay"
83,Giant Anteater,Endangered Mammals of South America,Myrmecophaga tridactyla,NA,Mammals,VU-IUCN: 2010,Central and South America
84,Giant Armadillo,Endangered Mammals of South America,Priodontes maximus,Priodontes giganteus,Mammals,"EN-US FWS: June 14, 1976VU-IUCN: 2009","Guyana to Argentina, Venezuela"
85,Giant Atlantic Tree Rat,Endangered Mammals of South America,Phyllomys thomasi,Echimys thomasi,Mammals,EN-IUCN: 2008,Brazil
86,Giant Otter,Endangered Mammals of South America,Pteronura brasiliensis,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",South America
87,Goeldi's Marmoset,Endangered Mammals of South America,Callimico goeldii,"Goeldi's Monkey, Goeldi's Tamarin",Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008","Bolivia, Brazil, Colombia, Ecuador, Peru"
88,Goeldi's Spiny Rat,Endangered Mammals of South America,Proechimys goeldii,NA,Mammals,VU-IUCN: 2008,"Brazil, Colombia"
89,Golden Lion Tamarin,Endangered Mammals of South America,Leontopithecus rosalia,Golden Marmoset,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Brazil
90,Golden Vizcacha Rat,Endangered Mammals of South America,Pipanacoctomys aureus,NA,Mammals,CR-IUCN: 2008,Argentina
91,Golden-backed Squirrel Monkey,Endangered Mammals of South America,Saimiri ustus,Bare-eared Squirrel Monkey,Mammals,NT-IUCN: 2008,Brazil
92,Golden-headed Lion Tamarin,Endangered Mammals of South America,Leontopithecus chrysomelas,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Brazil
93,Golden-mantle Saddleback Tamarin,Endangered Mammals of South America,Saguinus tripartitus,NA,Mammals,NT-IUCN: 2008,"Ecuador, Peru"
94,Golden-rumped Tamarin,Endangered Mammals of South America,Leontopithecus chrysopygus,Black Tamarin,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Brazil
95,Gorgas's Rice Rat,Endangered Mammals of South America,Oryzomys gorgasi,NA,Mammals,EN-IUCN: 2008,"Colombia, Venezuela"
96,Gray Grass Mouse,Endangered Mammals of South America,Abrothrix illuteus,Gray Akodont,Mammals,NT-IUCN: 2008,Argentina
97,Gray-handed Night Monkey,Endangered Mammals of South America,Aotus griseimembra,Gray-legged Night Monkey,Mammals,VU-IUCN: 2008,"Colombia, Venezuela"
98,Greater Long-tailed Bat,Endangered Mammals of South America,Choeroniscus periosus,NA,Mammals,VU-IUCN: 2008,"Colombia, Ecuador"
99,Guiana Spider Monkey,Endangered Mammals of South America,Ateles paniscus,"Red-faced Black Spider Monkey, Red-Faced Spider Monkey",Mammals,VU-IUCN: 2008,"Brazil, French Guiana, Guyana, Suriname"
100,Guina,Endangered Mammals of South America,Leopardus guigna,"Oncifelis guigna, Chilean Cat, Kodkod",Mammals,VU-IUCN: 2008,"Argentina, Chile"
101,Hairy Little Fruit Bat,Endangered Mammals of South America,Rhinophylla alethina,NA,Mammals,NT-IUCN: 2008,"Colombia, Ecuador"
102,Hairy Long-nosed Armadillo,Endangered Mammals of South America,Dasypus pilosus,Woolly Armadillo,Mammals,VU-IUCN: 2008,Peru
103,Hammond's Rice Rat,Endangered Mammals of South America,Mindomys hammondi,Oryzomys hammondi,Mammals,EN-IUCN: 2008,Ecuador
104,Handley's Tailless Bat,Endangered Mammals of South America,Anoura cultrata,NA,Mammals,NT-IUCN: 2008,"Bolivia, Colombia, Costa Rica, Ecuador, Panama, Peru, Venezuela"
105,Hooded Seal,Endangered Mammals of South America,Cystophora cristata,NA,Mammals,VU-IUCN: 2008,"Asia, Central America, Europe, North America, Oceanic, South America"
106,Incan Little Mastiff Bat,Endangered Mammals of South America,Mormopterus phrudus,NA,Mammals,VU-IUCN: 2008,Peru
107,Indo-pacific Hump-backed Dolphin,Endangered Mammals of South America,Sousa chinensis,Chinese White Dolphin,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Middle East, Oceanic, South America"
108,Jaguar,Endangered Mammals of South America,Panthera onca,NA,Mammals,"NT-IUCN: 2008EN-US FWS: March 28, 1972","Arizona, California, Central and South America, Louisiana, Mexico, New Mexico, Texas"
109,Junin Slender Opossum,Endangered Mammals of South America,Marmosops juninensis,NA,Mammals,VU-IUCN: 2008,Peru
110,Ka'apor Capuchin,Endangered Mammals of South America,Cebus kaapori,"Cebus olivaceus ssp. kaapori,",Mammals,CR-IUCN: 2008,Brazil
111,Karimi's Fat-tailed Mouse Opossum,Endangered Mammals of South America,Thylamys karimii,NA,Mammals,VU-IUCN: 2008,Brazil
112,La Plata River Dolphin,Endangered Mammals of South America,Pontoporia blainvillei,Franciscana,Mammals,VU-IUCN: 2008,"Argentina, Brazil, Uruguay"
113,Large Long-clawed Mouse,Endangered Mammals of South America,Chelemys megalonyx,NA,Mammals,NT-IUCN: 2008,Chile
114,Least Big-eared Bat,Endangered Mammals of South America,Neonycteris pusilla,Micronycteris pusilla,Mammals,VU-IUCN: 2008,"Brazil, Colombia"
115,Lesser Yellow-shouldered Bat,Endangered Mammals of South America,Sturnira nana,NA,Mammals,EN-IUCN: 2008,Peru
116,Little Spotted Cat,Endangered Mammals of South America,Leopardus tigrinus,"Tiger Cat, Felis tigrinus, Tiger Ocelot, Oncilla",Mammals,"EN-US FWS: March 28, 1972VU-IUCN: 2008",Costa Rica to Northern Argentina
117,Little Woolly Mouse Opossum,Endangered Mammals of South America,Micoureus phaeus,NA,Mammals,VU-IUCN: 2008,"Colombia, Ecuador, Peru"
118,Long-haired Spider Monkey,Endangered Mammals of South America,Ateles belzebuth,"Ateles belzebuth ssp. belzebuth, White-bellied Spider Monkey",Mammals,EN-IUCN: 2008,"Brazil, Colombia, Ecuador, Peru, Venezuela"
119,Long-snouted Bat,Endangered Mammals of South America,Platalina genovensium,NA,Mammals,NT-IUCN: 2008,Peru
120,Long-tailed Chinchilla,Endangered Mammals of South America,Chinchilla lanigera,NA,Mammals,CR-IUCN: 2008,Chile
121,Long-tailed Otter,Endangered Mammals of South America,Lontra longicaudis,"Neotropical River Otter, Lutra platensis, Lutra longicaudis",Mammals,"EN-US FWS: June 2, 1970",South America
122,Magellanic Tuco-tuco,Endangered Mammals of South America,Ctenomys magellanicus,NA,Mammals,VU-IUCN: 2008,"Argentina, Chile"
123,Maned Wolf,Endangered Mammals of South America,Chrysocyon brachyurus,NA,Mammals,"NT-IUCN: 2008EN-US FWS: December 2, 1970","Argentina, Bolivia, Brazil, Paraguay, Uruguay"
124,Mantled Howler Monkey,Endangered Mammals of South America,Alouatta palliata,Golden-mantled Howling Monkey,Mammals,"EN-US FWS: June 14, 1976",Mexico to South America
125,Margay,Endangered Mammals of South America,Leopardus wiedii,"Felis wiedii, Long-tailed Spotted Cat, Tree Ocelot",Mammals,"NT-IUCN: 2008EN-US FWS: March 28, 1972","Central and South America, Mexico"
126,Marine Otter,Endangered Mammals of South America,Lontra felina,"Sea Cat, Lutra felina",Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008",Peru south to Straits of Magellan
127,Marinkelle's Sword-nosed Bat,Endangered Mammals of South America,Lonchorhina marinkellei,NA,Mammals,EN-IUCN: 2008,Colombia
128,Marsh Deer,Endangered Mammals of South America,Blastocerus dichotomus,NA,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008","Argentina, Bolivia, Brazil, Paraguay, Uruguay"
129,Melissa's Yellow-eared Bat,Endangered Mammals of South America,Vampyressa melissa,NA,Mammals,VU-IUCN: 2008,"Colombia, Ecuador, Peru"
130,Monito Del Monte,Endangered Mammals of South America,Dromiciops gliroides,"Little Mountain Monkey, Dromiciops australis",Mammals,NT-IUCN: 2008,"Argentina, Chile"
131,Monster Rice Rat,Endangered Mammals of South America,Euryoryzomys lamia,Oryzomys lamia,Mammals,EN-IUCN: 2008,Brazil
132,Moon-toothed Degu,Endangered Mammals of South America,Octodon lunatus,NA,Mammals,NT-IUCN: 2009,Chile
133,Mottled Tuco-tuco,Endangered Mammals of South America,Ctenomys latro,NA,Mammals,VU-IUCN: 2008,Argentina
134,Mountain Paca,Endangered Mammals of South America,Cuniculus taczanowskii,Agouti taczanowskii,Mammals,NT-IUCN: 2008,"Bolivia, Colombia, Ecuador, Peru, Venezuela"
135,Mountain Tapir,Endangered Mammals of South America,Tapirus pinchaque,"Andean Tapir, Woolly Tapir",Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008","Colombia, Ecuador and possibly Peru and Venezuela"
136,Musso's Fish-eating Rat,Endangered Mammals of South America,Neusticomys mussoi,NA,Mammals,EN-IUCN: 2008,Venezuela
137,Neblina Uakari,Endangered Mammals of South America,Cacajao hosomi,"Black-headed Uakari, Cacajao melanocephalus ssp. melanocephalus",Mammals,VU-IUCN: 2008,"Brazil, Venezuela"
138,North Andean Huemul,Endangered Mammals of South America,Hippocamelus antisensis,"Taruca, North Andean Deer, Peruvian Guemal, Peruvian Huemul",Mammals,"EN-US FWS: June 14, 1976VU-IUCN: 2008","Argentina, Bolivia, Chile, Ecuador, Peru"
139,Northern Muriqui,Endangered Mammals of South America,Brachyteles hypoxanthus,NA,Mammals,CR-IUCN: 2008,Brazil
140,Ocelot,Endangered Mammals of South America,Leopardus pardalis,"Painted Leopard, Tigrillo, Felis pardalis",Mammals,"EN-US FWS: March 28, 1972","USA (Arizona, Texas) to Central and South America"
141,Orinoco Agouti,Endangered Mammals of South America,Dasyprocta guamara,NA,Mammals,NT-IUCN: 2008,Venezuela
142,Orinoco Sword-nosed Bat,Endangered Mammals of South America,Lonchorhina orinocensis,NA,Mammals,VU-IUCN: 2008,"Colombia, Venezuela"
143,Pacarana,Endangered Mammals of South America,Dinomys branickii,NA,Mammals,VU-IUCN: 2008,"Bolivia, Brazil, Colombia, Ecuador, Peru, Venezuela"
144,Pacific Degu,Endangered Mammals of South America,Octodon pacificus,Mocha Island Degu,Mammals,CR-IUCN: 2008,Chile
145,Pacific Spiny Rat,Endangered Mammals of South America,Proechimys decumanus,NA,Mammals,VU-IUCN: 2008,"Ecuador, Peru"
146,Painted Tree Rat,Endangered Mammals of South America,Callistomys pictus,"Echimys pictus, Isothrix picta",Mammals,EN-IUCN: 2008,Brazil
147,Pampas Cat,Endangered Mammals of South America,Leopardus colocolo,"Lynchailurus colocolo, Oncifelis colocolo, Chilean Pampa Cat",Mammals,NT-IUCN: 2008,"Argentina, Bolivia, Brazil, Chile, Ecuador, Paraguay, Peru, Uruguay"
148,Pampas Deer,Endangered Mammals of South America,Ozotoceros bezoarticus,NA,Mammals,"NT-IUCN: 2008EN-US FWS: June 14, 1976","Argentina, Bolivia, Brazil, Paraguay, Uruguay"
149,Pearson's Tuco-tuco,Endangered Mammals of South America,Ctenomys pearsoni,NA,Mammals,NT-IUCN: 2008,"Argentina, Uruguay"
150,Peruvian Climbing Mouse,Endangered Mammals of South America,Rhipidomys modicus,"Peruvian Rhipidomys, Lesser Peruvian Rhipidomys",Mammals,NT-IUCN: 2008,Peru
151,Pichi,Endangered Mammals of South America,Zaedyus pichiy,NA,Mammals,NT-IUCN: 2010,"Argentina, Chile"
152,Pied Tamarin,Endangered Mammals of South America,Saguinus bicolor,Brazilian Bare-faced Tamarin,Mammals,"EN-US FWS: October 19, 1976EN-IUCN: 2008",Brazil
153,Pilar Tuco-tuco,Endangered Mammals of South America,Ctenomys pilarensis,NA,Mammals,EN-IUCN: 2008,Paraguay
154,Pink Fairy Armadillo,Endangered Mammals of South America,Chlamyphorus truncatus,NA,Mammals,"EN-US FWS: June 2, 1970",Argentina
155,Pittier's Crab-eating Rat,Endangered Mammals of South America,Ichthyomys pittieri,NA,Mammals,VU-IUCN: 2008,Venezuela
156,Porteous's Tuco-tuco,Endangered Mammals of South America,Ctenomys porteousi,NA,Mammals,NT-IUCN: 2008,Argentina
157,Pudu,Endangered Mammals of South America,Pudu pudu,NA,Mammals,"EN-US FWS: June 14, 1976",Southern South America
158,Puna Mouse,Endangered Mammals of South America,Punomys lemminus,NA,Mammals,VU-IUCN: 2008,Peru
159,Pundt's Tuco-tuco,Endangered Mammals of South America,Ctenomys pundti,NA,Mammals,VU-IUCN: 2008,Argentina
160,Quechuan Hocicudo,Endangered Mammals of South America,Oxymycterus hucucha,NA,Mammals,EN-IUCN: 2008,Bolivia
161,Red Myotis,Endangered Mammals of South America,Myotis ruber,NA,Mammals,NT-IUCN: 2008,"Bolivia, Brazil, Paraguay, Uruguay"
162,Red-nosed Tree Rat,Endangered Mammals of South America,Phyllomys brasiliensis,"Orange-brown Atlantic Tree-rat, Echimys brasiliensis, Red-nosed Tree-rat",Mammals,EN-IUCN: 2008,Brazil
163,Reig's Opossum,Endangered Mammals of South America,Monodelphis reigi,NA,Mammals,VU-IUCN: 2008,Venezuela
164,Rio Negro tuco-tuco,Endangered Mammals of South America,Ctenomys rionegrensis,NA,Mammals,EN-IUCN: 2008,"Argentina, Uruguay"
165,Roberto's Spiny Rat,Endangered Mammals of South America,Proechimys roberti,"Proechimys oris, Para Spiny Rat",Mammals,VU-IUCN: 2008,Brazil
166,Roig's Tuco-tuco,Endangered Mammals of South America,Ctenomys roigi,NA,Mammals,CR-IUCN: 2008,Argentina
167,Rondonia Marmoset,Endangered Mammals of South America,Mico rondoni,"Mico sp. nov., Rondon's Marmoset",Mammals,VU-IUCN: 2008,Brazil
168,Roraima Mouse,Endangered Mammals of South America,Podoxymys roraimae,NA,Mammals,VU-IUCN: 2008,Venezuela
169,Sanborn's Grass Mouse,Endangered Mammals of South America,Abrothrix sanborni,Sanborn's Akodont,Mammals,NT-IUCN: 2008,"Argentina, Chile"
170,Santa Catarina's Guinea Pig,Endangered Mammals of South America,Cavia intermedia,NA,Mammals,CR-IUCN: 2008,Brazil
171,Santiago Galapagos Mouse,Endangered Mammals of South America,Nesoryzomys swarthi,NA,Mammals,VU-IUCN: 2008,Ecuador (Galapagos Islands)
172,Sechura Desert Fox,Endangered Mammals of South America,Pseudalopex sechurae,"Lycalopex sechurae, Peruvian Desert Fox",Mammals,NT-IUCN: 2008,"Ecuador, Peru"
173,Shipton's Mountain Cavy,Endangered Mammals of South America,Microcavia shiptoni,NA,Mammals,NT-IUCN: 2008,Argentina
