index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
51,Mediterranean Horseshoe Bat,Endangered Mammals of the Middle East,Rhinolophus euryale,NA,Mammals,NT-IUCN: 2008,"Albania, Algeria, Andorra, Armenia, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, France, Georgia (Eurasia), Gibraltar, Greece, Hungary, Iran, Iraq, Israel, Italy, Jordan, Lebanon, Monaco, Montenegro, Morocco, Portugal, Republic of Macedonia, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Syria, Tunisia, Turkey"
52,Mediterranean Monk Seal,Endangered Mammals of the Middle East,Monachus monachus,NA,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Mediterranean Sea, Northwest African Coast and Black Sea"
53,Mehely's Horseshoe Bat,Endangered Mammals of the Middle East,Rhinolophus mehelyi,NA,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East"
54,Menzbier's Marmot,Endangered Mammals of the Middle East,Marmota menzbieri,Marmota menzbieri ssp. zachidovi,Mammals,VU-IUCN: 2008,"Kazakhstan, Kyrgyzstan, Uzbekistan"
55,Nubian Ibex,Endangered Mammals of the Middle East,Capra nubiana,NA,Mammals,VU-IUCN: 2008,"Egypt, Israel, Jordan, Oman, Saudi Arabia, Sudan, Syria, Yemen"
56,Pallas's Cat,Endangered Mammals of the Middle East,Otocolobus manul,Manul,Mammals,NT-IUCN: 2008,"Afghanistan, Armenia, Azerbaijan, China, India, Iran, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan, Turkmenistan, Uzbekistan"
57,Red Deer,Endangered Mammals of the Middle East,Cervus elaphus,"7 ssp: Bactrian D. (C. e. bactrianus), Barbary Stag (C. e. barbarus), Corsican Red D. (C. e. corsicanus), Kashmir Stag (C. e. hanglu), McNeill's D. (C. e. macneilii), Shou (C. e. wallichi), Yarkand D. (C. e. yarkandensis)",Mammals,"EN-US FWS: C. e. barbarus, C. e. hanglu, C. e. macneilii, C. e. wacllichi - June 2, 1970; C. e. bactrianus, C. e. corsicanus, C. e. yarkandensis - June 25, 1979","Afghanistan, Algeria, Bhutan, China, France, India, Morocco, Pakistan, Tunisia"
58,Roach's Mouse-tailed Dormouse,Endangered Mammals of the Middle East,Myomimus roachi,Ground Dormouse,Mammals,VU-IUCN: 2008,"Bulgaria, Greece, Turkey"
59,Saiga Antelope,Endangered Mammals of the Middle East,Saiga tatarica,"Mongolian Antelope or Mongolian Saiga (S. t. mongolica), US FWS",Mammals,"CR-IUCN: 2008EN-US FWS: June 14, 1976","Kazakhstan, Mongolia, Russia, Turkmenistan, Uzbekistan"
60,Sand Cat,Endangered Mammals of the Middle East,Felis margarita,"Sand Dune Cat, Pakistan Sand Cat (F. m. scheffeli) US FWS",Mammals,"NT-IUCN: 2008EN-US FWS: January 23, 1984","Africa, Asia, Europe, Middle East"
61,Slender-horned Gazelle,Endangered Mammals of the Middle East,Gazella leptoceros,Rhim,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008","Algeria, Egypt, Libya, Sudan"
62,Smooth-coated Otter,Endangered Mammals of the Middle East,Lutrogale perspicillata,"Lutra perspicillata, Indian Smooth-coated Otter",Mammals,VU-IUCN: 2008,"Bangladesh, Bhutan, Brunei Darussalam, Cambodia, China, India, Indonesia, Iraq, Laos, Malaysia, Myanmar, Nepal, Pakistan, Thailand, Vietnam"
63,Snow Leopard,Endangered Mammals of the Middle East,Uncia uncia,"Ounce, Panthera uncia",Mammals,"EN-US FWS: March 28, 1972EN-IUCN: 2008","Central Asia, Middle East"
64,Straw-coloured Fruit Bat,Endangered Mammals of the Middle East,Eidolon helvum,Eidolon helvum ssp. sabaeum,Mammals,NT-IUCN: 2008,"Africa, Asia, Middle East"
65,Striped Hyena,Endangered Mammals of the Middle East,Hyaena hyaena,"Barbary Hyena, H. h. barbara (US FWS)",Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970","Asia, Africa, and the Middle East, Europe"
66,Vinogradov's Jerboa,Endangered Mammals of the Middle East,Allactaga vinogradovi,NA,Mammals,NT-IUCN: 2008,"Kazakhstan, Kyrgyzstan, Tajikistan, Uzbekistan"
67,Wild Goat,Endangered Mammals of the Middle East,Capra aegagrus,Bezoar,Mammals,VU-IUCN: 2008,"Armenia, Azerbaijan, Georgia (Eurasia), Iran, Pakistan, Russia, Turkey, Turkmenistan"
