index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
1,Hawaiian Hoary Bat,Endangered Mammals of Hawaii,Lasiurus cinereus semotus,'Ope'ape'a,Mammals,"EN-US FWS: October 13, 1970",Hawaii
2,Hawaiian Monk Seal,Endangered Mammals of Hawaii,Monachus schauinslandi,NA,Mammals,"EN-US FWS: November 23, 1976CR-IUCN: 2008",Hawaii
3,North Pacific Right Whale,Endangered Mammals of Hawaii,Balaena japonica,Eubalaena japonica,Mammals,EN-IUCN: 2008,"Canada (British Columbia), China, Japan, Korea, Mexico (Baja California), Russia, Taiwan, United States and Hawaii"
