index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
1,Beluga,Endangered Mammals of the Oceans and Island Nations,Delphinapterus leucas,White Whale,Mammals,NT-IUCN: 2008,"Asia, Europe, North America (including United States), Oceanic"
2,Blue Whale,Endangered Mammals of the Oceans and Island Nations,Balaenoptera musculus,"3 subspecies endangered: Northern Blue Whale (Balaenoptera musculus musculus), Southern Blue Whale (Balaenoptera musculus intermedia), Pygmy Blue Whale (Balaenoptera musculus brevicauda)",Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970",Oceans
3,Bowhead Whale,Endangered Mammals of the Oceans and Island Nations,Balaena mysticetus,"Greenland Right Whale, Arctic Whale",Mammals,"EN-US FWS: June 2, 1970",Oceans (N. latitudes only)
4,Common Brown Lemur,Endangered Mammals of the Oceans and Island Nations,Eulemur fulvus,"Eulemur fulvus ssp. fulvus, Eulemur fulvus ssp. mayottensis",Mammals,NT-IUCN: 2008,"Indian Ocean (Comoros), Madagascar, Mayotte"
5,Comoro Black Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus livingstonii,Livingstone's Flying Fox,Mammals,EN-IUCN: 2008,Indian Ocean (Comoros)
6,Comoro Rousette,Endangered Mammals of the Oceans and Island Nations,Rousettus obliviosus,NA,Mammals,VU-IUCN: 2008,Indian Ocean (Comoros)
7,Fijian Blossom Bat,Endangered Mammals of the Oceans and Island Nations,Notopteris macdonaldi,"Long-tailed Blossom Bat, Long-tailed Fruit Bat",Mammals,VU-IUCN: 2008,"Fiji, Vanuatu"
8,Fijian Monkey-faced Bat,Endangered Mammals of the Oceans and Island Nations,Mirimiri acrodonta,Pteralopex acrodonta,Mammals,CR-IUCN: 2008,Fiji
9,Finback Whale,Endangered Mammals of the Oceans and Island Nations,Balaenoptera physalus,Common Rorqual,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Oceans
10,Gray Whale,Endangered Mammals of the Oceans and Island Nations,Eschrichtius robustus,NA,Mammals,"EN-US FWS: June 2, 1970",West Pacific Ocean
11,Hooded Seal,Endangered Mammals of the Oceans and Island Nations,Cystophora cristata,NA,Mammals,VU-IUCN: 2008,"Asia, Central America, Europe, North America, Oceanic, South America"
12,Humpback Whale,Endangered Mammals of the Oceans and Island Nations,Megaptera novaeangliae,NA,Mammals,"EN-US FWS: June 2, 1970",Oceans
