index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
13,Indo-pacific Hump-backed Dolphin,Endangered Mammals of the Oceans and Island Nations,Sousa chinensis,Chinese White Dolphin,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Middle East, Oceanic, South America"
14,Killer Whale,Endangered Mammals of the Oceans and Island Nations,Orcinus orca,Orca,Mammals,"EN-US FWS: February 16, 2006","Southern Resident DPS (Canada, USA - WA)"
15,Kosrae Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus ualanus,Ualan Fruit Bat,Mammals,VU-IUCN: 2008,Federated States of Micronesia
16,Little Mariana Fruit Bat,Endangered Mammals of the Oceans and Island Nations,Pteropus tokudae,NA,Mammals,"EN-US FWS: August 27, 1984",West Pacific Ocean (USA - Guam)
17,Marianas Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus mariannus,"Pteropus keraudren, Marianas Fruit Bat, Marianna Flying Fox, Micronesian Flying Fox, Pagan Island Fruit Bat, Ulithi Fruit Bat",Mammals,EN-IUCN: 2008,"Federated States of Micronesia, Guam, Northern Mariana Islands"
18,Mediterranean Monk Seal,Endangered Mammals of the Oceans and Island Nations,Monachus monachus,NA,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Mediterranean Sea, Northwest African Coast and Black Sea"
19,Mongoose Lemur,Endangered Mammals of the Oceans and Island Nations,Eulemur mongoz,NA,Mammals,VU-IUCN: 2008,"Indian Ocean (Comoros), Madagascar"
20,Narwhal,Endangered Mammals of the Oceans and Island Nations,Monodon monoceros,Unicorn Whale,Mammals,NT-IUCN: 2008,"Alaska, Canada, Germany, Greenland, Iceland, Netherlands (Europe), Norway, Russia, Svalbard and Jan Mayen, United Kingdom"
21,North Atlantic Right Whale,Endangered Mammals of the Oceans and Island Nations,Balaena glacialis,"Black Right Whale, Northern Right Whale, Eubalaena glacialis",Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970",Northern Oceans
22,Pacific Sheath-tailed Bat,Endangered Mammals of the Oceans and Island Nations,Emballonura semicaudata,Polynesian Sheath-tailed Bat,Mammals,EN-IUCN: 2008,"American Samoa, Federated States of Micronesia, Fiji, Northern Mariana Islands, Palau, Samoa, Tonga"
23,Palau Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus pelewensis,NA,Mammals,NT-IUCN: 2008,Palau
24,Philippine Brown Deer,Endangered Mammals of the Oceans and Island Nations,Rusa marianna,Cervus mariannus,Mammals,VU-IUCN: 2008,"Federated States of Micronesia, Guam, Northern Mariana Islands, Philippines"
25,Pohnpei Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus molossinus,"Caroline Flying Fox, Pohnpei Fruit Bat, P. breviceps",Mammals,VU-IUCN: 2008,Federated States of Micronesia
26,Samoan Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus samoensis,NA,Mammals,NT-IUCN: 2008,"American Samoa, Fiji, Samoa"
27,Sei Whale,Endangered Mammals of the Oceans and Island Nations,Balaenoptera borealis,"Coalfish Whale, Pollack Whale, Rudophi's Rorqual",Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Oceans
28,Southern Right Whale,Endangered Mammals of the Oceans and Island Nations,Balaena australis,NA,Mammals,"EN-US FWS: June 2, 1970",Oceans
29,Sperm Whale,Endangered Mammals of the Oceans and Island Nations,Physeter macrocephalus,"Cachelot, Pot Whale, Spermacet Whale, Physeter catodon",Mammals,"VU-IUCN: 2008EN-US FWS: June 2, 1970",Oceans
30,Steller Sea-lion,Endangered Mammals of the Oceans and Island Nations,Eumetopias jubatus,Northern Sea-lion,Mammals,"EN-US FWS: April 10, 1990EN-IUCN: 2008","Alaska, California, Canada, North Pacific Ocean, Oregon, Russia, Washington"
31,Yap Flying Fox,Endangered Mammals of the Oceans and Island Nations,Pteropus yapensis,NA,Mammals,VU-IUCN: 2008,Federated States of Micronesia
