index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
104,Four-toed Jerboa,Endangered Mammals of Africa,Allactaga tetradactyla,NA,Mammals,VU-IUCN: 2008,"Egypt, Libya"
105,Gelada Baboon,Endangered Mammals of Africa,Theropithecus gelada,NA,Mammals,"T-US FWS: October 19, 1976",Ethiopia
106,Gerenuk,Endangered Mammals of Africa,Litocranius walleri,NA,Mammals,NT-IUCN: 2008,"Djibouti, Ethiopia, Kenya, Somalia, Tanzania"
107,Giant Golden Mole,Endangered Mammals of Africa,Chrysospalax trevelyani,NA,Mammals,EN-IUCN: 2008,South Africa
108,Giant Ground Pangolin,Endangered Mammals of Africa,Smutsia gigantea,"Manis gigantea, Giant Pangolin",Mammals,NT-IUCN: 2008,Africa
109,Giant Noctule Bat,Endangered Mammals of Africa,Nyctalus lasiopterus,NA,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East"
110,Giant Sable Antelope,Endangered Mammals of Africa,Hippotragus niger variani,NA,Mammals,"EN-US FWS: June 2, 1970",Angola
111,Giant Thicket Rat,Endangered Mammals of Africa,Grammomys gigas,NA,Mammals,EN-IUCN: 2008,Kenya
112,Giant-striped Mongoose,Endangered Mammals of Africa,Galidictis grandidieri,"Grandidier's Mongoose, Grandidier's Vontsira",Mammals,EN-IUCN: 2008,Madagascar
113,Golden Bamboo Lemur,Endangered Mammals of Africa,Hapalemur aureus,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Malagasy Republic (Madagascar)
114,Golden-crowned Sifaka,Endangered Mammals of Africa,Propithecus tattersalli,Tattersall's Sifaka,Mammals,"EN-US FWS: December 2, 1970EN-IUCN: 2008",Madagascar
115,Golden-rumped Elephant Shrew,Endangered Mammals of Africa,Rhynchocyon chrysopygus,Golden-rumped Sengi,Mammals,EN-IUCN: 2008,Kenya
116,Goodman's Mouse Lemur,Endangered Mammals of Africa,Microcebus lehilahytsara,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
117,Gray Bamboo Lemur,Endangered Mammals of Africa,Hapalemur griseus,"Eastern Lesser Bamboo Lemur, Gray Gentle Lemur, H. ranomafanensis",Mammals,"VU-IUCN: 2008EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
