index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
215,Slender-horned Gazelle,Endangered Mammals of Africa,Gazella leptoceros,Rhim,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008","Algeria, Egypt, Libya, Sudan"
216,Small Iron-gray Dwarf Lemur,Endangered Mammals of Africa,Cheirogaleus minusculus,"Lesser Iron-gray Dwarf Lemur, Large Iron-gray Dwarf Lemur",Mammals,"EN-US FWS: June 2, 1970",Madagascar
217,Small-toothed Sportive Lemur,Endangered Mammals of Africa,Lepilemur microdon,Small-toothed Weasel Lemur,Mammals,"EN-US FWS: June 2, 1970",Madagascar
218,Sooty Mangabey,Endangered Mammals of Africa,Cercocebus atys,Red-capped Monkey,Mammals,VU-IUCN: 2008,"Burkina Faso, Cote d'Ivoire, Ghana, Guinea, Guinea-Bissau, Liberia, Senegal, Sierra Leone"
219,Speke's Gazelle,Endangered Mammals of Africa,Gazella spekei,NA,Mammals,EN-IUCN: 2008,Somalia
220,Straw-coloured Fruit Bat,Endangered Mammals of Africa,Eidolon helvum,Eidolon helvum ssp. sabaeum,Mammals,NT-IUCN: 2008,"Africa, Asia, Middle East"
221,Striped Hyena,Endangered Mammals of Africa,Hyaena hyaena,"Barbary Hyena, H. h. barbara (US FWS)",Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970","Asia, Africa, and the Middle East, Europe"
222,Sun-tailed Monkey,Endangered Mammals of Africa,Cercopithecus solatus,Sun-tailed Guenon,Mammals,VU-IUCN: 2008,Gabon
223,Tana River Mangabey,Endangered Mammals of Africa,Cercocebus galeritus galeritus,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Kenya
224,Tana River Red Colobus Monkey,Endangered Mammals of Africa,Procolobus rufomitratus,"Colobus rufomitratus, Colobus badius rufomitratus, Procolobus badius rufomitratus",Mammals,"EN-US FWS: June 2, 1970",Kenya
225,Tanzanian Vlei Rat,Endangered Mammals of Africa,Otomys lacustris,NA,Mammals,VU-IUCN: 2008,"Kenya, Malawi, Tanzania, Zambia"
226,Tanzanian Woolly Bat,Endangered Mammals of Africa,Kerivoula africana,NA,Mammals,EN-IUCN: 2008,Tanzania
227,Temnick's Ground Pangolin,Endangered Mammals of Africa,Smutsia temminckii,"Cape pangolin, Manis temminckii",Mammals,"EN-US FWS: June 14, 1976",Africa
228,Thomson's Gazelle,Endangered Mammals of Africa,Eudorcas thomsonii,Gazella thomsonii,Mammals,NT-IUCN: 2008,"Kenya, Tanzania"
229,Upland Horseshoe Bat,Endangered Mammals of Africa,Rhinolophus hillorum,Hill's Horseshoe Bat,Mammals,NT-IUCN: 2009,"Cameroon, Guinea, Liberia, Nigeria"
230,Van der Decken's Sifaka,Endangered Mammals of Africa,Propithecus deckenii,NA,Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2008",Madagascar
231,Verreaux's Sifaka,Endangered Mammals of Africa,Propithecus verreauxi,NA,Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2008",Madagascar
232,Vincent's Bush Squirrel,Endangered Mammals of Africa,Paraxerus vincenti,NA,Mammals,EN-IUCN: 2008,Mozambique
233,Walia Ibex,Endangered Mammals of Africa,Capra walie,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Ethiopia
234,Weasel Lemur,Endangered Mammals of Africa,Lepilemur mustelinus,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
235,West African Manatee,Endangered Mammals of Africa,Trichechus senegalensis,Seacow,Mammals,VU-IUCN: 2008,Africa
236,Western Barbastelle,Endangered Mammals of Africa,Barbastella barbastellus,NA,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe"
237,Western Giant Eland,Endangered Mammals of Africa,Taurotragus derbianus derbianus,NA,Mammals,"EN-US FWS: June 25, 1979",Senegal to Ivory Coast
238,Western Lesser Bamboo Lemur,Endangered Mammals of Africa,Hapalemur occidentalis,"Western Gentle Lemur, Western Gray Bamboo Lemur, Sambirano Rufous Mouse Lemur, Sambirano Bamboo Lemur, H. griseus ssp. occidentalis",Mammals,"VU-IUCN: 2008EN-US FWS: June 2, 1970",Malagasy Republic (Madagascar)
239,Western Lowland Gorilla,Endangered Mammals of Africa,Gorilla gorilla,NA,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Central and Western Africa
240,Western Woolly Lemur,Endangered Mammals of Africa,Avahi occidentalis,"Western Avahi, Lorenz Von Liburnau's Woolly Lemur",Mammals,EN-IUCN: 2008,Madagascar
241,White Rhinoceros,Endangered Mammals of Africa,Ceratotherium simum,"Square-lipped Rhinoceros, Northern White Rhinoceros - C. s. cottoni (US FWS)",Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970",Africa
242,White-collared Mangabey,Endangered Mammals of Africa,Cercocebus torquatus,"Red-capped Mangabey, Sooty Mangabey,  C. t. ssp. torquatus",Mammals,"EN-US FWS: October 19, 1976VU-IUCN: 2008","Nigeria to Gabon, Senegal to Ghana"
243,White-footed Sportive Lemur,Endangered Mammals of Africa,Lepilemur leucopus,"White-footed Weasel Lemur, Dry-bush Weasel Lemur",Mammals,"EN-US FWS: June 2, 1970",Madagascar
244,White-tailed Mouse,Endangered Mammals of Africa,Mystromys albicaudatus,White-tailed Rat,Mammals,EN-IUCN: 2008,"Lesotho, South Africa"
245,White-thighed Colobus,Endangered Mammals of Africa,Colobus vellerosus,"Geoffroy's Black-and-white Colobus, White-thighed Black-and-white Colobus",Mammals,VU-IUCN: 2008,"Benin, Cote d'Ivoire, Ghana, Nigeria, Togo"
246,White-throated Guenon,Endangered Mammals of Africa,Cercopithecus erythrogaster,"Red-bellied Monkey, Nigerian Guenon",Mammals,"EN-US FWS: October 19, 1976VU-IUCN: 2008",Western Nigeria
247,Wimmer's Shrew,Endangered Mammals of Africa,Crocidura wimmeri,NA,Mammals,CR-IUCN: 2008,Cote d'Ivoire
248,Yalden's Desmomys,Endangered Mammals of Africa,Desmomys yaldeni,NA,Mammals,EN-IUCN: 2008,Ethiopia
249,Zambian Mole Rat,Endangered Mammals of Africa,Fukomys anselli,"Ansell's Mole-rat, Cryptomys anselli",Mammals,NT-IUCN: 2008,Zambia
250,Zanzibar Red Colobus Monkey,Endangered Mammals of Africa,Procolobus kirkii,"Kirk's Red Colobus, Colobus pennantii, Colobus kirki kirki, Procolobus kirki kirki, Procolobus pennantii kirki (US FWS)",Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970",Tanzania
251,Zanzibar Suni,Endangered Mammals of Africa,Neotragus moschatus moschatus,Dwarf Antelope,Mammals,"EN-US FWS: June 25, 1979",Zanzibar (and nearby islands)
252,Zebra Duiker,Endangered Mammals of Africa,Cephalophus zebra,"Banded Duiker, Zebra Antelope",Mammals,VU-IUCN: 2008,"Cote d'Ivoire, Guinea, Liberia, Sierra Leone"
253,Ziama Horseshoe Bat,Endangered Mammals of Africa,Rhinolophus ziama,NA,Mammals,EN-IUCN: 2008,"Guinea, Liberia"
