index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
1,Bahaman Lesser Funnel-eared Bat,Endangered Mammals of Central America,Chilonatalus tumidifrons,Mammals,NT-IUCN: 2008,Bahamas,NA
2,Bahamian Hutia,Endangered Mammals of Central America,Geocapromys ingrahami,Mammals,VU-IUCN: 2008,Bahamas,Ingraham's Hutia
3,Bangs's Mountain Squirrel,Endangered Mammals of Central America,Syntheosciurus brochus,Mammals,NT-IUCN: 2008,"Costa Rica, Panama",Neotropical Montane Squirrel
4,Big Deer Mouse,Endangered Mammals of Central America,Peromyscus grandis,Mammals,NT-IUCN: 2008,Guatemala,Large Deer Mouse
5,Black-tailed Hutia,Endangered Mammals of Central America,Mesocapromys melanurus,Mammals,VU-IUCN: 2008,Cuba,"Mysateles melanurus, Bushy-tailed Hutia"
6,Brown-headed Spider Monkey,Endangered Mammals of Central America,Ateles fusciceps,Mammals,CR-IUCN: 2008,"Colombia, Ecuador, Panama",Black-headed Spider Monkey
7,Bush Dog,Endangered Mammals of Central America,Speothos venaticus,Mammals,NT-IUCN: 2008,"Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Panama, Paraguay, Peru, Suriname, Venezuela","Savannah Dog, Vinegar Dog"
8,Cabrera's Hutia,Endangered Mammals of Central America,Capromys angelcabrerai,Mammals,"EN-US FWS: May 16, 1986EN-IUCN: 2008",Cuba,Mesocapromys angelcabrerai
9,Central American Tapir,Endangered Mammals of Central America,Tapirus bairdii,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southern Mexico to Colombia and Ecuador,Baird's Tapir
10,Cloud Forest Rice Rat,Endangered Mammals of Central America,Handleyomys saturatior,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Honduras, Mexico, Nicaragua",Oryzomys saturatior
11,Coiban Agouti,Endangered Mammals of Central America,Dasyprocta coibae,Mammals,VU-IUCN: 2008,Panama,NA
