index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
176,Javan Rusa,Endangered Mammals of Asia,Rusa timorensis,Mammals,VU-IUCN: 2008,"Australia, Indian Ocean (Reunion), Indonesia, Mauritius, New Caledonia, New Zealand, Papua New Guinea, Timor-Leste","Javan Deer, Rusa Deer, Timor Deer, Cervus celebensis, C. hippelaphus, C. lepidus, C. moluccensis, C. peronii, C. russa, C. tavistocki, C. timorensis, C. tunjuc"
177,Javan Slit-faced Bat,Endangered Mammals of Asia,Nycteris javanica,Mammals,VU-IUCN: 2008,Indonesia,NA
178,Javan Slow Loris,Endangered Mammals of Asia,Nycticebus javanicus,Mammals,EN-IUCN: 2008,Indonesia,Nycticebus ornatus
179,Javan Warty Pig,Endangered Mammals of Asia,Sus verrucosus,Mammals,EN-IUCN: 2008,Indonesia (Jawa),NA
180,Kashmir Gray Langur,Endangered Mammals of Asia,Semnopithecus ajax,Mammals,EN-IUCN: 2008,India,"Semnopithecus entellus ssp. ajax, Chamba Sacred Langur, Dark-eyed Himalayan Langur, Himalayan Gray Langur, Western Himalayan Langur"
181,Kashmir Musk Deer,Endangered Mammals of Asia,Moschus cupreus,Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976","Afghanistan, India, Pakistan",NA
182,Kazbeg Birch Mouse,Endangered Mammals of Asia,Sicista kazbegica,Mammals,EN-IUCN: 2008,"Georgia (Eurasia), Russia",NA
183,Kelaart's Long-clawed Shrew,Endangered Mammals of Asia,Feroculus feroculus,Mammals,EN-IUCN: 2008,"India, Sri Lanka",NA
184,Kinabalu Shrew,Endangered Mammals of Asia,Crocidura baluensis,Mammals,VU-IUCN: 2008,Malaysia,NA
185,Kloss's Gibbon,Endangered Mammals of Asia,Hylobates klossii,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Indonesia (Sumatra),"Mentawai Gibbon, Bilou, Dwarf Gibbon"
186,Komodo Rat,Endangered Mammals of Asia,Komodomys rintjanus,Mammals,VU-IUCN: 2008,Indonesia,Nusa Tenggara Komodomys
187,Kondana Soft-furred Rat,Endangered Mammals of Asia,Millardia kondana,Mammals,CR-IUCN: 2008,India,Large Metad
188,Kouprey,Endangered Mammals of Asia,Bos sauveli,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Cambodia, Laos, Thailand, Vietnam",Gray Ox
189,Kozlov's Pika,Endangered Mammals of Asia,Ochotona koslowi,Mammals,EN-IUCN: 2008,"China (Qinghai, Xinjiang)",NA
190,Laotian Rock Rat,Endangered Mammals of Asia,Laonastes aenigmamus,Mammals,EN-IUCN: 2008,Laos,Kha-nyou
