index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
275,Shortridge's Langur,Endangered Mammals of Asia,Trachypithecus shortridgei,Mammals,EN-IUCN: 2008,"China, Myanmar","Trachypithecus belliger, Shortridge's Capped Langur"
276,Siamang,Endangered Mammals of Asia,Symphalangus syndactylus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Indonesia, Malaysia",Hylobates syndactylus (formerly)
277,Siberian Musk Deer,Endangered Mammals of Asia,Moschus moschiferus,Mammals,"EN-US FWS: June 14, 1976VU-IUCN: 2008",China,NA
278,Sichuan Snub-nosed Monkey,Endangered Mammals of Asia,Rhinopithecus roxellana,Mammals,"EN-US FWS: September 27, 1990EN-IUCN: 2008",China,NA
279,Sika Deer,Endangered Mammals of Asia,Cervus nippon,Mammals,"EN-US FWS: June 25, 1979","China, Japan, Taiwan","5 subspecies endangered: Shansi Sika Deer (C. n. grassianus), Formosan Sika Deer (C. n. taiouanus), N. China Sika Deer (C. n. mandarinus), Ryukyu Sika Deer (C. n. keramae), S. China Sika Deer (C. n. kopschi)"
280,Silvery Gibbon,Endangered Mammals of Asia,Hylobates moloch,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970",Indonesia (Jawa),"Also called Moloch Gibbon. 2 subspecies: Western Silvery Gibbon or Western Javan Gibbon (H. m. moloch), Eastern Silvery Gibbon or Central Javan Gibbon (H. m. pongoalsoni)"
281,Silvery Lutung,Endangered Mammals of Asia,Trachypithecus cristatus,Mammals,NT-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia","Silvered Langur, Silvered Leaf Monkey, T. pruinosus, T. pullata, T. rutledgii, T. ultima"
282,Singapore Roundleaf Horseshoe Bat,Endangered Mammals of Asia,Hipposideros ridleyi,Mammals,"EN-US FWS: January 23, 1984VU-IUCN: 2008",Malaysia,"Ridley's Leaf-nosed Bat, Ridley's Roundleaf Bat"
283,Sipora Flying Squirrel,Endangered Mammals of Asia,Hylopetes sipora,Mammals,EN-IUCN: 2008,Indonesia,NA
284,Sloth Bear,Endangered Mammals of Asia,Melursus ursinus,Mammals,VU-IUCN: 2008,"Bhutan, India, Nepal, Sri Lanka",Labiated Bear
285,Small Dorcopsis,Endangered Mammals of Asia,Dorcopsulus vanheurni,Mammals,NT-IUCN: 2008,"Indonesia, Papua New Guinea",Lesser Forest Wallaby
286,Small Woolly Bat,Endangered Mammals of Asia,Kerivoula intermedia,Mammals,NT-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",NA
287,Smoky Flying Squirrel,Endangered Mammals of Asia,Pteromyscus pulverulentus,Mammals,EN-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Thailand",NA
288,Smooth-coated Otter,Endangered Mammals of Asia,Lutrogale perspicillata,Mammals,VU-IUCN: 2008,"Bangladesh, Bhutan, Brunei Darussalam, Cambodia, China, India, Indonesia, Iraq, Laos, Malaysia, Myanmar, Nepal, Pakistan, Thailand, Vietnam","Lutra perspicillata, Indian Smooth-coated Otter"
289,Snow Leopard,Endangered Mammals of Asia,Uncia uncia,Mammals,"EN-US FWS: March 28, 1972EN-IUCN: 2008","Central Asia, Middle East","Ounce, Panthera uncia"
290,Speckled Ground Squirrel,Endangered Mammals of Asia,Spermophilus suslicus,Mammals,NT-IUCN: 2008,"Belarus, Poland, Republic of Moldova, Russia, Ukraine",Spotted Souslik
291,Spectral Tarsier,Endangered Mammals of Asia,Tarsius tarsier,Mammals,VU-IUCN: 2008,Indonesia,"Eastern Tarsier, Sulawesi Tarsier, T. buffonii, T. daubentonii, T. fuscomanus, T. fuscus, T. macrotarsos, T. pallassii, T. podje, T. spectrum"
292,Spotted Linsang,Endangered Mammals of Asia,Prionodon pardicolor,Mammals,"EN-US FWS: June 14, 1976","Assam, Burma, Cambodia, Laos, Nepal, Vietnam",Oriental Linsang
293,Steller Sea-lion,Endangered Mammals of Asia,Eumetopias jubatus,Mammals,"EN-US FWS: April 10, 1990EN-IUCN: 2008","Alaska, California, Canada, North Pacific Ocean, Oregon, Russia, Washington",Northern Sea-lion
294,Straw-coloured Fruit Bat,Endangered Mammals of Asia,Eidolon helvum,Mammals,NT-IUCN: 2008,"Africa, Asia, Middle East",Eidolon helvum ssp. sabaeum
295,Striped Hyena,Endangered Mammals of Asia,Hyaena hyaena,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970","Asia, Africa, and the Middle East, Europe","Barbary Hyena, H. h. barbara (US FWS)"
296,Sulawesi Bear Cuscus,Endangered Mammals of Asia,Ailurops ursinus,Mammals,VU-IUCN: 2008,Indonesia,"Phalanger ursinus, Sulawesi Bear Phalanger"
297,Sulawesi Harpy Fruit Bat,Endangered Mammals of Asia,Harpyionycteris celebensis,Mammals,VU-IUCN: 2008,Indonesia,NA
298,Sumatran Orangutan,Endangered Mammals of Asia,Pongo abelii,Mammals,CR-IUCN: 2008,Sumatra,NA
299,Sumatran Rhinoceros,Endangered Mammals of Asia,Dicerorhinus sumatrensis,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Bangladesh to Vietnam to Indonesia (Borneo),Borneo Rhinoceros
300,Sumatran Serow,Endangered Mammals of Asia,Naemorhedus sumatraensis,Mammals,"EN-US FWS: June 14, 1976VU-IUCN: 2008","Indonesia, Malaysia, Thailand","Capricornis sumatraensis, C. s. ssp. sumatraensis"
301,Sumatran Striped Rabbit,Endangered Mammals of Asia,Nesolagus netscheri,Mammals,VU-IUCN: 2008,Indonesia,Sumatran Short-eared Rabbit
302,Sunda Clouded Leopard,Endangered Mammals of Asia,Neofelis diardi,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",Enkuli Clouded Leopard
303,Sunda Pangolin,Endangered Mammals of Asia,Manis javanica,Mammals,EN-IUCN: 2008,"Brunei Darussalam, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Singapore, Thailand, Vietnam","Malayan Pangolin, Javan Pangolin"
304,Swamp Deer,Endangered Mammals of Asia,Cervus duvaucelii,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008","India, Nepal",Barasingha
305,Taiwan Vole,Endangered Mammals of Asia,Microtus kikuchii,Mammals,NT-IUCN: 2008,"China, Taiwan","Kikuchi's Field Vole, Volemys kikuchii"
306,Talaud Bear Cuscus,Endangered Mammals of Asia,Ailurops melanotis,Mammals,CR-IUCN: 2008,Indonesia,NA
307,Tamaraw,Endangered Mammals of Asia,Bubalus mindorensis,Mammals,"EN-US FWS: December 2, 1970CR-IUCN: 2008",Philippines,Mindoro Dwarf Buffalo
308,Tarai Gray Langur,Endangered Mammals of Asia,Semnopithecus hector,Mammals,NT-IUCN: 2008,"Bhutan, India, Nepal","Hanuman Langur, Lesser Hill Langur, Tarai Sacred Langur"
309,Temminck's Flying Fox,Endangered Mammals of Asia,Pteropus temminckii,Mammals,VU-IUCN: 2008,Indonesia,NA
310,Tibetan Antelope,Endangered Mammals of Asia,Pantholops hodgsonii,Mammals,"EN-US FWS: March 29, 2006EN-IUCN: 2008","China, India, Nepal",Chiru
311,Tiger,Endangered Mammals of Asia,Panthera tigris,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2010",Temperate and Tropical Asia,"6 subspecies endangered: Bengal Tiger (P. t. tigris), Corbett's Tiger (P. t. corbetti), Malayian Tiger (P. t. jacksoni), Sumatran Tiger (P. t. sumatran), Siberian Tiger (P. t. altaica), S. China Tiger (P. t. amoyensis)"
312,Tonkean Black Macaque,Endangered Mammals of Asia,Macaca tonkeana,Mammals,VU-IUCN: 2008,Indonesia (Sulawesi),"M. hypomelanus, M. togeanus, M. tonsus"
313,Tonkin Snub-nosed Monkey,Endangered Mammals of Asia,Rhinopithecus avunculus,Mammals,"EN-US FWS: October 19, 1976CR-IUCN: 2008",Vietnam,NA
314,Tufted Deer,Endangered Mammals of Asia,Elaphodus cephalophus,Mammals,NT-IUCN: 2008,"China, Myanmar",NA
315,Tufted Ground Squirrel,Endangered Mammals of Asia,Rheithrosciurus macrotis,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",NA
316,Vinogradov's Jerboa,Endangered Mammals of Asia,Allactaga vinogradovi,Mammals,NT-IUCN: 2008,"Kazakhstan, Kyrgyzstan, Tajikistan, Uzbekistan",NA
317,Visayan Deer,Endangered Mammals of Asia,Rusa alfredi,Mammals,"EN-US FWS: September 1, 1988EN-IUCN: 2008",Philippines,"Philippine Spotted Deer, Cervus alfredi"
318,Vordermann's Flying Squirrel,Endangered Mammals of Asia,Petinomys vordermanni,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Myanmar",NA
319,Ward's Red-backed Vole,Endangered Mammals of Asia,Eothenomys wardi,Mammals,NT-IUCN: 2008,China,"Ward's Chinese Vole, Ward's Oriental Vole"
320,West Caucasian Tur,Endangered Mammals of Asia,Capra caucasica,Mammals,EN-IUCN: 2008,"Georgia (Eurasia), Russia",NA
321,Western Barbastelle,Endangered Mammals of Asia,Barbastella barbastellus,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe",NA
322,Western Bearded Pig,Endangered Mammals of Asia,Sus barbatus,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Philippines",Bornean Bearded Pig
323,Western Long-beaked Echidna,Endangered Mammals of Asia,Zaglossus bruijnii,Mammals,CR-IUCN: 2008,Indonesia,"Long-beaked Echidna, Long-nosed Spiny Anteater, New Guinea Long-nosed Echidna"
324,Whiskered Flying Squirrel,Endangered Mammals of Asia,Petinomys genibarbis,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",NA
325,White-headed Langur,Endangered Mammals of Asia,Trachypithecus poliocephalus,Mammals,CR-IUCN: 2008,"China, Vietnam","Cat Ba Langur, Golden-headed Langur"
326,Whitehead's Spiny Rat,Endangered Mammals of Asia,Maxomys whiteheadi,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Thailand",Whitehead's Sundaic Maxomys
327,Wild Asian Buffalo,Endangered Mammals of Asia,Bubalus arnee,Mammals,EN-IUCN: 2008,"Bhutan, Cambodia, India, Myanmar, Nepal, Thailand, Vietnam","Bos arni, Bos bubalus var. fulvus, Bubalis bubalis ssp. migona, Indian Water Buffalo, Bos arni, Bubalus arna, Bubalus arna var. macrocerus, Bubalus bubalus ssp. septentrionalis"
328,Wild Goat,Endangered Mammals of Asia,Capra aegagrus,Mammals,VU-IUCN: 2008,"Armenia, Azerbaijan, Georgia (Eurasia), Iran, Pakistan, Russia, Turkey, Turkmenistan",Bezoar
329,Wild Yak,Endangered Mammals of Asia,Bos grunniens,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2016","China (Tibet), India","Domestic Yak, Bos mutus"
330,Wolverine,Endangered Mammals of Asia,Gulo gulo,Mammals,NT-IUCN: 2008,"Canada, China, Estonia, Finland, Mongolia, Norway, Russia, Sweden, United States",NA
331,Yanbaru Whiskered Bat,Endangered Mammals of Asia,Myotis yanbarensis,Mammals,CR-IUCN: 2008,Japan,NA
332,Yellow-cheeked Gibbon,Endangered Mammals of Asia,Nomascus gabriellae,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","Cambodia, Laos, Vietnam","Hylobates gabriellae (formerly), Yellow-cheeked Crested Gibbon, Golden-cheeked Crested Gibbon, Buffed-cheeked Gibbon, Red-cheeked Gibbon"
333,Yunnan Snub-nosed Monkey,Endangered Mammals of Asia,Rhinopithecus bieti,Mammals,"EN-US FWS: September 27, 1990EN-IUCN: 2008",China,Black Snub-nosed Monkey
