index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
1,Alpine Shrew,Endangered Mammals of Europe,Sorex alpinus,Mammals,NT-IUCN: 2008,"Albania, Austria, Bosnia and Herzegovina, Croatia, Czech Republic, France, Germany, Hungary, Italy, Liechtenstein, Poland, Romania, Serbia and Montenegro, Slovakia, Slovenia, Switzerland, Ukraine",NA
2,Altai Weasel,Endangered Mammals of Europe,Mustela altaica,Mammals,NT-IUCN: 2008,"Bhutan, China, India, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan","Mountain Weasel, Pale Weasel"
3,Apennine Chamois,Endangered Mammals of Europe,Rupicapra rupicapra ornata,Mammals,"EN-US FWS: June 14, 1976",Italy,NA
4,Argali,Endangered Mammals of Europe,Ovis ammon,Mammals,"NT-IUCN: 2008EN-US FWS: June 14, 1976","Afghanistan, China, India, Kazakhstan, Nepal, Pakistan, Russia, Uzbekistan",NA
5,Asia Minor Ground Squirrel,Endangered Mammals of Europe,Spermophilus xanthoprymnus,Mammals,NT-IUCN: 2008,"Armenia, Iran, Turkey",NA
6,Asiatic Black Bear,Endangered Mammals of Europe,Ursus thibetanus,Mammals,"VU-IUCN: 2008EN-US FWS: May 16, 1986","Afghanistan, Bangladesh, Bhutan, Cambodia, China, India, Iran, Japan, Korea, Laos, Myanmar, Nepal, Pakistan, Russia, Taiwan, Thailand, Vietnam","Tibetan Black Bear, Himalayan Black Bear, Moon Bear, Selenarctos thibetanus gedrosianus, Baluchistan Bear - U. t. gedrosianus (US FWS)"
7,Asiatic Lion,Endangered Mammals of Europe,Panthera leo persica,Mammals,"EN-US FWS: June 2, 1970",Turkey to India,NA
8,Azorean Bat,Endangered Mammals of Europe,Nyctalus azoreum,Mammals,EN-IUCN: 2008,Portugal (Azores),Azores Noctule
9,Balkan Blind Mole Rat,Endangered Mammals of Europe,Spalax graecus,Mammals,NT-IUCN: 2008,"Republic of Moldova, Romania, Ukraine",Bukovin Mole Rat
10,Balkan Snow Vole,Endangered Mammals of Europe,Dinaromys bogdanovi,Mammals,VU-IUCN: 2008,"Bosnia and Herzegovina, Croatia, Republic of Macedonia, Serbia and Montenegro",Martino's Snow Vole
