index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
11,Barbary Macaque,Endangered Mammals of Europe,Macaca sylvanus,Mammals,EN-IUCN: 2008,"Algeria, Gibraltar, Morocco",Barbary Ape
12,Bavarian Pine Vole,Endangered Mammals of Europe,Microtus bavaricus,Mammals,CR-IUCN: 2008,Austria,Pitymys bavaricus
13,Bechstein's Bat,Endangered Mammals of Europe,Myotis bechsteinii,Mammals,NT-IUCN: 2008,"Asia, Europe, Middle East",Bechstein's Myotis
14,Beluga,Endangered Mammals of Europe,Delphinapterus leucas,Mammals,NT-IUCN: 2008,"Asia, Europe, North America (including United States), Oceanic",White Whale
15,Brandt's Hamster,Endangered Mammals of Europe,Mesocricetus brandti,Mammals,NT-IUCN: 2008,"Armenia, Azerbaijan, Georgia (Eurasia), Iran, Russia, Turkey",Mesocricetus koenigi
16,Broom Hare,Endangered Mammals of Europe,Lepus castroviejoi,Mammals,VU-IUCN: 2008,Spain,NA
17,Brown Bear,Endangered Mammals of Europe,Ursus arctos,Mammals,"EN-US FWS: U. a. arctos - June 14, 1976, U. a. pruinosus - June 14, 1976, U. a. nelsoni - June 2, 1970","China (Tibet), Italy, Mexican Holarctic","3 subspecies endangered: European Brown Bear (Ursus arctos arctos), Tibetan Blue Bear (Ursus arctos pruinosus), Mexican Grizzly Bear or Mexican Brown Bear (Ursus arctos nelsoni)"
18,Cabrera's Vole,Endangered Mammals of Europe,Microtus cabrerae,Mammals,NT-IUCN: 2008,"Portugal, Spain",NA
19,Canarian Shrew,Endangered Mammals of Europe,Crocidura canariensis,Mammals,EN-IUCN: 2008,Spain (Canary Islands),NA
20,Canary Big-eared Bat,Endangered Mammals of Europe,Plecotus teneriffae,Mammals,EN-IUCN: 2008,Spain (Canary Islands),"Canary Long-eared Bat, Tenerife Long-eared Bat"
21,Caspian Seal,Endangered Mammals of Europe,Pusa caspica,Mammals,EN-IUCN: 2008,"Azerbaijan, Iran, Kazakhstan, Russia, Turkmenistan",Phoca caspica
22,Caucasian Birch Mouse,Endangered Mammals of Europe,Sicista caucasica,Mammals,VU-IUCN: 2008,"Georgia (Eurasia), Russia",NA
23,Caucasian Mountain Ground Squirrel,Endangered Mammals of Europe,Spermophilus musicus,Mammals,NT-IUCN: 2008,Russia,"Citellus pygmaeus ssp. boehmi, Citellus pygmaeus ssp. magistri"
24,Chinese Water Deer,Endangered Mammals of Europe,Hydropotes inermis,Mammals,VU-IUCN: 2008,"China, France, Korea, United Kingdom","Hydropotes affinis, Hydropotes argyropus, Hydropotes kreyenbergi"
25,Common Bentwing Bat,Endangered Mammals of Europe,Miniopterus schreibersii,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East","Schreiber's Bent-winged Bat, Schreiber's Long-fingered Bat"
26,Corsican Hare,Endangered Mammals of Europe,Lepus corsicanus,Mammals,VU-IUCN: 2008,Italy,"Apennine Hare, Italian Hare"
27,Cretan White-toothed Shrew,Endangered Mammals of Europe,Crocidura zimmermanni,Mammals,VU-IUCN: 2008,Greece,Zimmermann's Shrew
28,Cyprian Wild Sheep,Endangered Mammals of Europe,Ovis orientalis,Mammals,VU-IUCN: 2008,"Afghanistan, Armenia, Azerbaijan, India, Iran, Kazakhstan, Oman, Pakistan, Tajikistan, Turkey, Turkmenistan, Uzbekistan","Ovis vignei, Urial, Cyprus Mouflon, Red Sheep"
29,Dahl's Jird,Endangered Mammals of Europe,Meriones dahli,Mammals,EN-IUCN: 2008,"Armenia, Turkey",NA
30,Eastern Tur,Endangered Mammals of Europe,Capra cylindricornis,Mammals,NT-IUCN: 2008,"Azerbaijan, Georgia (Eurasia), Russia",East Caucasian Tur
31,Euphrates Jerboa,Endangered Mammals of Europe,Allactaga euphratica,Mammals,NT-IUCN: 2008,"Iran, Iraq, Jordan, Kuwait, Lebanon, Saudi Arabia, Syria, Turkey",NA
32,Eurasian Otter,Endangered Mammals of Europe,Lutra lutra,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East","Lutra nippon, Common Otter, European River Otter, Old World Otter"
33,European Bison,Endangered Mammals of Europe,Bison bonasus,Mammals,VU-IUCN: 2008,"Belarus, Kyrgyzstan, Lithuania, Poland, Romania, Russia, Slovakia, Ukraine",Wisent
34,European Ground Squirrel,Endangered Mammals of Europe,Spermophilus citellus,Mammals,VU-IUCN: 2008,"Asia, Europe, Middle East",European Souslik
35,European Marbled Polecat,Endangered Mammals of Europe,Vormela peregusna,Mammals,VU-IUCN: 2008,"Asia, Europe, Middle East",NA
36,European Mink,Endangered Mammals of Europe,Mustela lutreola,Mammals,EN-IUCN: 2008,Europe,NA
37,European Rabbit,Endangered Mammals of Europe,Oryctolagus cuniculus,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Europe, North America (including United States), South America",Common Rabbit
38,Far Eastern Myotis,Endangered Mammals of Europe,Myotis bombinus,Mammals,NT-IUCN: 2008,"China, Japan, Korea, Russia","Myotis amurensis, Bombinus Bat"
39,Felten's Myotis,Endangered Mammals of Europe,Myotis punicus,Mammals,NT-IUCN: 2008,"Algeria, Libya, Malta, Morocco, Tunisia",Maghrebian Myotis
40,Garden Dormouse,Endangered Mammals of Europe,Eliomys quercinus,Mammals,NT-IUCN: 2008,"Asia, Europe",NA
41,Giant Blind Mole Rat,Endangered Mammals of Europe,Spalax giganteus,Mammals,VU-IUCN: 2008,Russia,Russian Mole Rat
42,Giant Noctule Bat,Endangered Mammals of Europe,Nyctalus lasiopterus,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East",NA
43,Goitered Gazelle,Endangered Mammals of Europe,Gazella subgutturosa,Mammals,"VU-IUCN: 2008EN-US FWS: June 25, 1979","Asia, Europe, Middle East",Sand Gazelle - G. s. marica (US FWS)
44,Golden Hamster,Endangered Mammals of Europe,Mesocricetus auratus,Mammals,VU-IUCN: 2008,"Syria, Turkey",NA
45,Greater Fat-tailed Jerboa,Endangered Mammals of Europe,Pygeretmus zhitkovi,Mammals,NT-IUCN: 2008,Kazakhstan,"Zhitkov's Jerboa, P. schitkovi"
46,Hoffmann's Pika,Endangered Mammals of Europe,Ochotona hoffmanni,Mammals,EN-IUCN: 2008,"Mongolia, Russia","Ochotona alpina ssp. hoffmanni, Ochotona alpina ssp. nova"
47,Hooded Seal,Endangered Mammals of Europe,Cystophora cristata,Mammals,VU-IUCN: 2008,"Asia, Central America, Europe, North America, Oceanic, South America",NA
48,Kazbeg Birch Mouse,Endangered Mammals of Europe,Sicista kazbegica,Mammals,EN-IUCN: 2008,"Georgia (Eurasia), Russia",NA
49,Long-clawed Mole Vole,Endangered Mammals of Europe,Prometheomys schaposchnikowi,Mammals,NT-IUCN: 2008,"Georgia (Eurasia), Russia, Turkey",NA
50,Long-fingered Bat,Endangered Mammals of Europe,Myotis capaccinii,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East",NA
51,Long-tailed Goral,Endangered Mammals of Europe,Naemorhedus caudatus,Mammals,VU-IUCN: 2008,"China, Korea, Russia","Chinese Goral, Amur Goral"
52,Madeira Pipistrelle,Endangered Mammals of Europe,Pipistrellus maderensis,Mammals,EN-IUCN: 2008,"Portugal, Spain (Canary Islands)",NA
53,Mediterranean Horseshoe Bat,Endangered Mammals of Europe,Rhinolophus euryale,Mammals,NT-IUCN: 2008,"Albania, Algeria, Andorra, Armenia, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Croatia, France, Georgia (Eurasia), Gibraltar, Greece, Hungary, Iran, Iraq, Israel, Italy, Jordan, Lebanon, Monaco, Montenegro, Morocco, Portugal, Republic of Macedonia, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Syria, Tunisia, Turkey",NA
54,Mediterranean Monk Seal,Endangered Mammals of Europe,Monachus monachus,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Mediterranean Sea, Northwest African Coast and Black Sea",NA
55,Mehely's Horseshoe Bat,Endangered Mammals of Europe,Rhinolophus mehelyi,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East",NA
56,Menzbier's Marmot,Endangered Mammals of Europe,Marmota menzbieri,Mammals,VU-IUCN: 2008,"Kazakhstan, Kyrgyzstan, Uzbekistan",Marmota menzbieri ssp. zachidovi
57,Mongolian Marmot,Endangered Mammals of Europe,Marmota sibirica,Mammals,EN-IUCN: 2008,"China, Mongolia, Russia","Marmota sibirica ssp. caliginosus, Marmota sibirica ssp. dahurica, Siberian Marmot, Tarbagan Marmot"
58,Narwhal,Endangered Mammals of Europe,Monodon monoceros,Mammals,NT-IUCN: 2008,"Alaska, Canada, Germany, Greenland, Iceland, Netherlands (Europe), Norway, Russia, Svalbard and Jan Mayen, United Kingdom",Unicorn Whale
59,North Pacific Right Whale,Endangered Mammals of Europe,Balaena japonica,Mammals,EN-IUCN: 2008,"Canada (British Columbia), China, Japan, Korea, Mexico (Baja California), Russia, Taiwan, United States and Hawaii",Eubalaena japonica
60,Northern Fur Seal,Endangered Mammals of Europe,Callorhinus ursinus,Mammals,VU-IUCN: 2008,"Arkansas, California, Canada, China, Japan, Korea, Mexico, Oregon, Russia, Taiwan, Washington",NA
61,Pallas's Cat,Endangered Mammals of Europe,Otocolobus manul,Mammals,NT-IUCN: 2008,"Afghanistan, Armenia, Azerbaijan, China, India, Iran, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan, Turkmenistan, Uzbekistan",Manul
62,Polar Bear,Endangered Mammals of Europe,Ursus maritimus,Mammals,VU-IUCN: 2008,"Alaska, Canada, Denmark, Greenland, Norway, Russia","Ice Bear, Thalarctos maritimus"
63,Pond Bat,Endangered Mammals of Europe,Myotis dasycneme,Mammals,NT-IUCN: 2008,"Asia, Europe",Pond Myotis
64,Pyrenean Desman,Endangered Mammals of Europe,Galemys pyrenaicus,Mammals,VU-IUCN: 2008,"Andorra, France, Portugal, Spain",NA
65,Pyrenean Ibex,Endangered Mammals of Europe,Capra pyrenaica pyrenaica,Mammals,"EN-US FWS: June 2, 1970",Spain,NA
66,Red Deer,Endangered Mammals of Europe,Cervus elaphus,Mammals,"EN-US FWS: C. e. barbarus, C. e. hanglu, C. e. macneilii, C. e. wacllichi - June 2, 1970; C. e. bactrianus, C. e. corsicanus, C. e. yarkandensis - June 25, 1979","Afghanistan, Algeria, Bhutan, China, France, India, Morocco, Pakistan, Tunisia","7 ssp: Bactrian D. (C. e. bactrianus), Barbary Stag (C. e. barbarus), Corsican Red D. (C. e. corsicanus), Kashmir Stag (C. e. hanglu), McNeill's D. (C. e. macneilii), Shou (C. e. wallichi), Yarkand D. (C. e. yarkandensis)"
67,Roach's Mouse-tailed Dormouse,Endangered Mammals of Europe,Myomimus roachi,Mammals,VU-IUCN: 2008,"Bulgaria, Greece, Turkey",Ground Dormouse
68,Romanian Hamster,Endangered Mammals of Europe,Mesocricetus newtoni,Mammals,NT-IUCN: 2008,"Bulgaria, Romania",Dobrudja Hamster
69,Russian Desman,Endangered Mammals of Europe,Desmana moschata,Mammals,VU-IUCN: 2008,"Kazakhstan, Russia, Ukraine",NA
70,Saiga Antelope,Endangered Mammals of Europe,Saiga tatarica,Mammals,"CR-IUCN: 2008EN-US FWS: June 14, 1976","Kazakhstan, Mongolia, Russia, Turkmenistan, Uzbekistan","Mongolian Antelope or Mongolian Saiga (S. t. mongolica), US FWS"
71,Saimaa Ringed Seal,Endangered Mammals of Europe,Phoca hispida saimensis,Mammals,"EN-US FWS: May 6, 1993",Finland (Lake Saimaa),NA
72,Sakhalin Vole,Endangered Mammals of Europe,Microtus sachalinensis,Mammals,NT-IUCN: 2008,Russia,NA
73,Sand Cat,Endangered Mammals of Europe,Felis margarita,Mammals,"NT-IUCN: 2008EN-US FWS: January 23, 1984","Africa, Asia, Europe, Middle East","Sand Dune Cat, Pakistan Sand Cat (F. m. scheffeli) US FWS"
74,Sandy Mole Rat,Endangered Mammals of Europe,Spalax arenarius,Mammals,EN-IUCN: 2008,Ukraine,NA
75,Sardinian Long-eared Bat,Endangered Mammals of Europe,Plecotus sardus,Mammals,VU-IUCN: 2008,Italy,NA
76,Sea Otter,Endangered Mammals of Europe,Enhydra lutris,Mammals,EN-IUCN: 2011,"Canada, Japan, Mexico, Russia, United States",NA
77,Southern Water Vole,Endangered Mammals of Europe,Arvicola sapidus,Mammals,VU-IUCN: 2008,"France, Portugal, Spain",Southwestern Water Vole
78,Spanish Lynx,Endangered Mammals of Europe,Felis pardina,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Portugal, Spain","Lynx pardinus, Pardel Lynx, Iberian Lynx"
79,Speckled Ground Squirrel,Endangered Mammals of Europe,Spermophilus suslicus,Mammals,NT-IUCN: 2008,"Belarus, Poland, Republic of Moldova, Russia, Ukraine",Spotted Souslik
80,Steller Sea-lion,Endangered Mammals of Europe,Eumetopias jubatus,Mammals,"EN-US FWS: April 10, 1990EN-IUCN: 2008","Alaska, California, Canada, North Pacific Ocean, Oregon, Russia, Washington",Northern Sea-lion
81,Striped Hyena,Endangered Mammals of Europe,Hyaena hyaena,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970","Asia, Africa, and the Middle East, Europe","Barbary Hyena, H. h. barbara (US FWS)"
82,Vinogradov's Jerboa,Endangered Mammals of Europe,Allactaga vinogradovi,Mammals,NT-IUCN: 2008,"Kazakhstan, Kyrgyzstan, Tajikistan, Uzbekistan",NA
83,West Caucasian Tur,Endangered Mammals of Europe,Capra caucasica,Mammals,EN-IUCN: 2008,"Georgia (Eurasia), Russia",NA
84,Western Barbastelle,Endangered Mammals of Europe,Barbastella barbastellus,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe",NA
85,Wild Goat,Endangered Mammals of Europe,Capra aegagrus,Mammals,VU-IUCN: 2008,"Armenia, Azerbaijan, Georgia (Eurasia), Iran, Pakistan, Russia, Turkey, Turkmenistan",Bezoar
86,Wolverine,Endangered Mammals of Europe,Gulo gulo,Mammals,NT-IUCN: 2008,"Canada, China, Estonia, Finland, Mongolia, Norway, Russia, Sweden, United States",NA
