index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
35,Chinanteco Deer Mouse,Endangered Mammals of North America**,Habromys chinanteco,Mammals,CR-IUCN: 2008,Mexico,NA
36,Cloud Forest Rice Rat,Endangered Mammals of North America**,Handleyomys saturatior,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Honduras, Mexico, Nicaragua",Oryzomys saturatior
37,Cougar,Endangered Mammals of North America**,Puma concolor,Mammals,"EN-US FWS: P. c. coryi - March 11, 1967, P. c. costaricensis - June 14, 1976, P. c. couguar - June 4, 1973",North and Central America,"Also called the Puma or Mountain Lion. 3 subspecies endangered: Florida Panther (Puma or Felis concolor coryi), Costa Rican Puma (Puma or Felis concolor costaricensis), Eastern Puma (Puma or Felis concolor couguar)"
38,Cozumel Harvest Mouse,Endangered Mammals of North America**,Reithrodontomys spectabilis,Mammals,CR-IUCN: 2008,Mexico,NA
39,Crested Tailed Deer Mouse,Endangered Mammals of North America**,Habromys lophurus,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Mexico",NA
40,Dalquest's Pocket Mouse,Endangered Mammals of North America**,Chaetodipus dalquesti,Mammals,VU-IUCN: 2008,Mexico (Baja California Sur),NA
41,Delicate Deer Mouse,Endangered Mammals of North America**,Habromys delicatulus,Mammals,CR-IUCN: 2008,Mexico,NA
42,Delmarva Peninsula Fox Squirrel,Endangered Mammals of North America**,Sciurus niger cinereus,Mammals,"EN-US FWS: March 11, 1967",USA (Delmarva Peninsula to southeastern Pennsylvania),NA
43,Desert Pocket Gopher,Endangered Mammals of North America**,Geomys arenarius,Mammals,NT-IUCN: 2008,"Mexico, New Mexico, Texas",NA
44,Dickey's Deer Mouse,Endangered Mammals of North America**,Peromyscus dickeyi,Mammals,CR-IUCN: 2008,Mexico,NA
45,El Carrizo Deer Mouse,Endangered Mammals of North America**,Peromyscus ochraventer,Mammals,EN-IUCN: 2008,Mexico,NA
46,European Rabbit,Endangered Mammals of North America**,Oryctolagus cuniculus,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Europe, North America (including United States), South America",Common Rabbit
47,Findley's Myotis,Endangered Mammals of North America**,Myotis findleyi,Mammals,EN-IUCN: 2008,Mexico,NA
48,Fish-eating Bat,Endangered Mammals of North America**,Myotis vivesi,Mammals,VU-IUCN: 2008,Mexico,Fish-eating Myotis
49,Flat-headed Myotis,Endangered Mammals of North America**,Myotis planiceps,Mammals,EN-IUCN: 2008,Mexico,NA
50,Florida Bonneted Bat,Endangered Mammals of North America**,Eumops floridanus,Mammals,CR-IUCN: 2008,Florida,NA
51,Florida Deermouse,Endangered Mammals of North America**,Podomys floridanus,Mammals,VU-IUCN: 2008,Florida,NA
52,Florida Salt Marsh Vole,Endangered Mammals of North America**,Microtus pennsylvanicus dukecampbelli,Mammals,"EN-US FWS: January 14, 1991",Florida,NA
53,Genoways's Yellow Bat,Endangered Mammals of North America**,Rhogeessa genowaysi,Mammals,EN-IUCN: 2008,Mexico,NA
54,Giant Kangaroo Rat,Endangered Mammals of North America**,Dipodomys ingens,Mammals,"EN-US FWS: January 5, 1987EN-IUCN: 2008",California,NA
55,Goldman's Diminutive Woodrat,Endangered Mammals of North America**,Nelsonia goldmani,Mammals,EN-IUCN: 2008,Mexico,NA
56,Gray Bat,Endangered Mammals of North America**,Myotis grisescens,Mammals,"NT-IUCN: 2008EN-US FWS: April 28, 1976",Central and Southeastern USA,Gray Myotis
57,Gray Wolf,Endangered Mammals of North America**,Canis lupus,Mammals,"EN-US FWS: March 11, 1967","Mexico, United States","Timber Wolf, Tundra Wolf, Arctic Wolf"
58,Grizzled Mexican Small-eared Shrew,Endangered Mammals of North America**,Cryptotis obscura,Mammals,VU-IUCN: 2008,Mexico,NA
59,Guadalupe Fur Seal,Endangered Mammals of North America**,Arctocephalus townsendi,Mammals,NT-IUCN: 2008,"California, Mexico",Lower Californian Fur Seal
60,Guatemalan Black Howler Monkey,Endangered Mammals of North America**,Alouatta pigra,Mammals,EN-IUCN: 2008,"Belize, Guatemala, Mexico (Campeche, Chiapas, Quintana Roo, Tabasco, Yucatan)","Lawrence's Howler Monkey, Mexican Black Howler Monkey, Yucatan Black Howler Monkey"
61,Guatemalan Vole,Endangered Mammals of North America**,Microtus guatemalensis,Mammals,NT-IUCN: 2008,"Guatemala, Mexico",NA
62,Hooded Seal,Endangered Mammals of North America**,Cystophora cristata,Mammals,VU-IUCN: 2008,"Asia, Central America, Europe, North America, Oceanic, South America",NA
63,Hualapai Mexican Vole,Endangered Mammals of North America**,Microtus mexicanus hualpaiensis,Mammals,"EN-US FWS: October 1, 1987",Arizona,NA
64,Idaho Ground Squirrel,Endangered Mammals of North America**,Spermophilus brunneus,Mammals,EN-IUCN: 2008,Idaho,NA
65,Indiana Bat,Endangered Mammals of North America**,Myotis sodalis,Mammals,"EN-US FWS: March 11, 1967EN-IUCN: 2008",Eastern and Midwestern USA,"Indiana Myotis, Social Bat"
66,Island Fox,Endangered Mammals of North America**,Urocyon littoralis,Mammals,"CR-IUCN: 2008EN-US FWS: March 5, 2004",California,"4 subspecies endangered: San Miguel Island Fox (Urocyon littoralis littoralis), Santa Catalina Island Fox (Urocyon littoralis catalinae), Santa Cruz Island Fox (Urocyon littoralis santacruzae), Santa Rosa Island Fox (Urocyon littoralis santarosae)"
67,Ixtlan Deer Mouse,Endangered Mammals of North America**,Habromys ixtlani,Mammals,CR-IUCN: 2008,Mexico,NA
68,Jaguar,Endangered Mammals of North America**,Panthera onca,Mammals,"NT-IUCN: 2008EN-US FWS: March 28, 1972","Arizona, California, Central and South America, Louisiana, Mexico, New Mexico, Texas",NA
69,Jaguarundi,Endangered Mammals of North America**,Herpailurus yagouaroundi,Mammals,"EN-US FWS: June 14, 1976","Arizona, Costa Rica, Mexico, Nicaragua, Panama, Texas","Also called the Otter Cat. 4 ssp. endangered: Panamanian J. (Herpailurus yagouaroundi panamensis), Guatemalan J. (Herpailurus yagouaroundi fossata), Gulf Coast J. (Herpailurus yagouaroundi cacomitli), Sinaloan J. (Herpailurus yagouaroundi tolteca)"
70,Jaliscan Spiny Pocket Mouse,Endangered Mammals of North America**,Liomys spectabilis,Mammals,EN-IUCN: 2008,Mexico,NA
71,Jico Deer Mouse,Endangered Mammals of North America**,Habromys simulatus,Mammals,EN-IUCN: 2008,Mexico,NA
72,Kangaroo Rat,Endangered Mammals of North America**,Dipodomys nitratoides,Mammals,"EN-US FWS: D. n. exillis - January 30, 1985, D. n. nitratoides - July 8, 1988VU-IUCN: 2008",California,"2 subspecies endangered: Fresno Kangaroo Rat (Dipodomys nitratoides exillis), Tipton Kangaroo Rat (Dipodomys nitratoides nitratoides), San Joaquin Kangaroo Rat"
73,Key Largo Cotton Mouse,Endangered Mammals of North America**,Peromyscus gossypinus allapaticola,Mammals,"EN-US FWS: September 21, 1983",Florida,NA
74,Key Largo Woodrat,Endangered Mammals of North America**,Neotoma floridana smalli,Mammals,"EN-US FWS: September 21, 1983",Florida,NA
75,Killer Whale,Endangered Mammals of North America**,Orcinus orca,Mammals,"EN-US FWS: February 16, 2006","Southern Resident DPS (Canada, USA - WA)",Orca
76,Least Yellow Bat,Endangered Mammals of North America**,Rhogeessa mira,Mammals,VU-IUCN: 2008,Mexico,NA
77,Lesser Long-nosed Bat,Endangered Mammals of North America**,Leptonycteris curasoae yerbabuenae,Mammals,"VU-IUCN: 2008EN-US FWS: September 30, 1988","Arizona, El Salvador, Guatemala, Honduras, Mexico, New Mexico",Leptonycteris yerbabuenae (IUCN)
78,Lower Keys Marsh Rabbit,Endangered Mammals of North America**,Sylvilagus palustris hefneri,Mammals,"EN-US FWS: June 21, 1990",Florida,NA
79,Mantled Howler Monkey,Endangered Mammals of North America**,Alouatta palliata,Mammals,"EN-US FWS: June 14, 1976",Mexico to South America,Golden-mantled Howling Monkey
80,Margay,Endangered Mammals of North America**,Leopardus wiedii,Mammals,"NT-IUCN: 2008EN-US FWS: March 28, 1972","Central and South America, Mexico","Felis wiedii, Long-tailed Spotted Cat, Tree Ocelot"
81,Mearns's Squirrel,Endangered Mammals of North America**,Tamiasciurus mearnsi,Mammals,EN-IUCN: 2008,Mexico (Baja California),NA
82,Merriam's Kangaroo Rat,Endangered Mammals of North America**,Dipodomys merriami,Mammals,"EN-US FWS: D. m parvus - January 27, 1998 (US FWS)","Mexico, United States",NA
83,Mexican Agouti,Endangered Mammals of North America**,Dasyprocta mexicana,Mammals,CR-IUCN: 2008,"Cuba, Mexico",NA
84,Mexican Big-eared Bat,Endangered Mammals of North America**,Corynorhinus mexicanus,Mammals,NT-IUCN: 2008,Mexico,Plecotus mexicanus
85,Mexican Bobcat,Endangered Mammals of North America**,Lynx rufus escuinapae,Mammals,"EN-US FWS: June 14, 1976",Central Mexico,Felis rufus escuinapae
86,Mexican Long-nosed Bat,Endangered Mammals of North America**,Leptonycteris nivalis,Mammals,"EN-US FWS: September 30, 1988EN-IUCN: 2008","Central America, Mexico, New Mexico, Texas",Greater Long-nosed Bat
87,Mexican Long-tongued Bat,Endangered Mammals of North America**,Choeronycteris mexicana,Mammals,NT-IUCN: 2008,"Arizona, California, El Salvador, Guatemala, Honduras, Mexico, Nevada, New Mexico, Texas",NA
88,Mexican Prairie Dog,Endangered Mammals of North America**,Cynomys mexicanus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Mexico,Mexican Prairie Marmot
89,Mexican Water Mouse,Endangered Mammals of North America**,Rheomys mexicanus,Mammals,EN-IUCN: 2008,Mexico,"Mexican Fishing Mouse, Goodwin's Water Mouse"
90,Minor Red Bat,Endangered Mammals of North America**,Lasiurus minor,Mammals,VU-IUCN: 2008,"Bahamas, Dominican Republic, Haiti, Puerto Rico",NA
91,Mohave Ground Squirrel,Endangered Mammals of North America**,Xerospermophilus mohavensis,Mammals,NT-IUCN: 2016,United States (California),Spermophilus mohavensis
92,Morro Bay Kangaroo Rat,Endangered Mammals of North America**,Dipodomys heermanni morroensis,Mammals,"EN-US FWS: October 13, 1970",California,NA
93,Mount Graham Red Squirrel,Endangered Mammals of North America**,Tamiasciurus hudsonicus grahamensis,Mammals,"EN-US FWS: June 3, 1987",Arizona,NA
94,Narwhal,Endangered Mammals of North America**,Monodon monoceros,Mammals,NT-IUCN: 2008,"Alaska, Canada, Germany, Greenland, Iceland, Netherlands (Europe), Norway, Russia, Svalbard and Jan Mayen, United Kingdom",Unicorn Whale
95,Nelson's Antelope Squirrel,Endangered Mammals of North America**,Ammospermophilus nelsoni,Mammals,EN-IUCN: 2008,California,San Joaquin Antelope Ground Squirrel
96,Nelson's Giant Deer Mouse,Endangered Mammals of North America**,Megadontomys nelsoni,Mammals,EN-IUCN: 2008,Mexico,NA
97,Nelson's Spiny Pocket Mouse,Endangered Mammals of North America**,Heteromys nelsoni,Mammals,EN-IUCN: 2008,"Guatemala, Mexico",NA
98,New England Cottontail,Endangered Mammals of North America**,Sylvilagus transitionalis,Mammals,VU-IUCN: 2008,"Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont",Wood Rabbit
99,North Pacific Right Whale,Endangered Mammals of North America**,Balaena japonica,Mammals,EN-IUCN: 2008,"Canada (British Columbia), China, Japan, Korea, Mexico (Baja California), Russia, Taiwan, United States and Hawaii",Eubalaena japonica
100,Northern Flying Squirrel,Endangered Mammals of North America**,Glaucomys sabrinus,Mammals,"EN-US FWS: July 1, 1985","North Carolina, Tennessee, Virginia, West Virginia","2 subspecies endangered: Carolina Northern Flying Squirrel (Glaucomys sabrinus coloratus), West Virginia Northern Flying Squirrel (Glaucomys sabrinus fuscus)"
101,Northern Fur Seal,Endangered Mammals of North America**,Callorhinus ursinus,Mammals,VU-IUCN: 2008,"Arkansas, California, Canada, China, Japan, Korea, Mexico, Oregon, Russia, Taiwan, Washington",NA
102,Northern Swift Fox,Endangered Mammals of North America**,Vulpes velox hebes,Mammals,"EN-US FWS: June 2, 1970",Canada,NA
103,Oaxacan Giant Deer Mouse,Endangered Mammals of North America**,Megadontomys cryophilus,Mammals,EN-IUCN: 2008,Mexico,NA
104,Ocelot,Endangered Mammals of North America**,Leopardus pardalis,Mammals,"EN-US FWS: March 28, 1972","USA (Arizona, Texas) to Central and South America","Painted Leopard, Tigrillo, Felis pardalis"
105,Omilteme Cottontail,Endangered Mammals of North America**,Sylvilagus insonus,Mammals,EN-IUCN: 2008,Mexico,Omiltemi Rabbit
106,Pacific Pocket Mouse,Endangered Mammals of North America**,Perognathus longimembris pacificus,Mammals,"EN-US FWS: February 3, 1994",California,NA
107,Palmer's Chipmunk,Endangered Mammals of North America**,Tamias palmeri,Mammals,EN-IUCN: 2008,Nevada,NA
108,Point Arena Mountain Beaver,Endangered Mammals of North America**,Aplodontia rufa nigra,Mammals,"EN-US FWS: December 12, 1991",California,NA
109,Polar Bear,Endangered Mammals of North America**,Ursus maritimus,Mammals,VU-IUCN: 2008,"Alaska, Canada, Denmark, Greenland, Norway, Russia","Ice Bear, Thalarctos maritimus"
110,Pribilof Island Shrew,Endangered Mammals of North America**,Sorex pribilofensis,Mammals,EN-IUCN: 2008,Alaska,Sorex hydrodromus
111,Pronghorn,Endangered Mammals of North America**,Antilocapra americana,Mammals,"EN-US FWS: A. a. peninsularis - September 25, 1985, A. a. sonoriensis - March 11, 1967","Arizona, Mexico","2 subspecies endangered: Peninsular Pronghorn (Antilocapra americana peninsularis), Sonoran Pronghorn (Antilocapra americana sonoriensis)"
112,Pygmy Rabbit,Endangered Mammals of North America**,Brachylagus idahoensis,Mammals,"EN-US FWS: November 30, 2001",USA - Columbia Basin DPS,NA
113,Pygmy Raccoon,Endangered Mammals of North America**,Procyon pygmaeus,Mammals,CR-IUCN: 2008,Mexico,Cozumel Island Raccoon
114,Pygmy Spotted Skunk,Endangered Mammals of North America**,Spilogale pygmaea,Mammals,VU-IUCN: 2008,Mexico,NA
115,Red Fruit Bat,Endangered Mammals of North America**,Stenoderma rufum,Mammals,VU-IUCN: 2008,"Puerto Rico, Virgin Islands",NA
116,Red Tree Vole,Endangered Mammals of North America**,Arborimus longicaudus,Mammals,NT-IUCN: 2008,"California, Oregon",NA
117,Red Wolf,Endangered Mammals of North America**,Canis rufus,Mammals,"EN-US FWS: March 11, 1967CR-IUCN: 2008","USA (SE US, west to central Texas)",NA
118,Robust Cottontail,Endangered Mammals of North America**,Sylvilagus robustus,Mammals,EN-IUCN: 2008,"New Mexico, Texas",NA
119,Salt Marsh Harvest Mouse,Endangered Mammals of North America**,Reithrodontomys raviventris,Mammals,"EN-US FWS: October 13, 1970EN-IUCN: 2008",California,NA
120,Sambar Deer,Endangered Mammals of North America**,Rusa unicolor,Mammals,VU-IUCN: 2008,"Africa, Asia, Australia, Central America, North America (United States)",Cervus unicolor
121,San Joaquin Kit Fox,Endangered Mammals of North America**,Vulpes macrotis mutica,Mammals,"EN-US FWS: March 11, 1967",California,NA
122,San Jose Brush Rabbit,Endangered Mammals of North America**,Sylvilagus mansuetus,Mammals,NT-IUCN: 2008,Mexico,NA
123,San Jose Island Kangaroo Rat,Endangered Mammals of North America**,Dipodomys insularis,Mammals,CR-IUCN: 2008,Mexico,NA
124,San Quintin Kangaroo Rat,Endangered Mammals of North America**,Dipodomys gravipes,Mammals,CR-IUCN: 2008,Mexico,NA
125,Sea Otter,Endangered Mammals of North America**,Enhydra lutris,Mammals,EN-IUCN: 2011,"Canada, Japan, Mexico, Russia, United States",NA
126,Silver Rice Rat,Endangered Mammals of North America**,Oryzomys palustris natator,Mammals,"EN-US FWS: April 30, 1991",Florida,NA
127,Spectral Bat,Endangered Mammals of North America**,Vampyrum spectrum,Mammals,NT-IUCN: 2008,"Belize, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Peru, Suriname, Trinidad and Tobago, Venezuela",NA
128,Steller Sea-lion,Endangered Mammals of North America**,Eumetopias jubatus,Mammals,"EN-US FWS: April 10, 1990EN-IUCN: 2008","Alaska, California, Canada, North Pacific Ocean, Oregon, Russia, Washington",Northern Sea-lion
129,Stephen's Kangaroo Rat (2),Endangered Mammals of North America**,NA,Mammals,NA,California,NA
130,Striped Rice Rat,Endangered Mammals of North America**,Handleyomys rhabdops,Mammals,VU-IUCN: 2008,"Guatemala, Mexico","Highland Oryzomys, Oryzomys rhabdops"
131,Tehuantepec Jackrabbit,Endangered Mammals of North America**,Lepus flavigularis,Mammals,EN-IUCN: 2008,Mexico,"Tehuantepec Hare, Tropical Hare"
132,Texas Kangaroo Rat,Endangered Mammals of North America**,Dipodomys elator,Mammals,VU-IUCN: 2008,"Oklahoma, Texas",NA
133,Thomas's Sac-winged Bat,Endangered Mammals of North America**,Balantiopteryx io,Mammals,VU-IUCN: 2008,"Belize, Guatemala, Mexico",NA
134,Thomas's Water Mouse,Endangered Mammals of North America**,Rheomys thomasi,Mammals,NT-IUCN: 2008,"El Salvador, Guatemala, Honduras, Mexico",NA
135,Townsend's Big-eared Bat,Endangered Mammals of North America**,Corynorhinus townsendii,Mammals,"EN-US FWS: November 30, 1979","Arkansas, Kentucky, Missouri, North Carolina, Oklahoma, Virginia, West Virginia","Plecotus townsendii; 2 subspecies endangered: Ozark Big-eared Bat (Plecotus townsendii ingens), Virginia Big-eared Bat (Corynorhinus townsendii virginianus)"
136,Townsend's Ground Squirrel,Endangered Mammals of North America**,Urocitellus townsendii,Mammals,VU-IUCN: 2016,Washington,Spermophilus townsendii
137,Tropical Pocket Gopher,Endangered Mammals of North America**,Geomys tropicalis,Mammals,CR-IUCN: 2008,Mexico,NA
138,Utah Prairie Dog,Endangered Mammals of North America**,Cynomys parvidens,Mammals,EN-IUCN: 2008,Utah,NA
139,Van Gelder's Bat,Endangered Mammals of North America**,Bauerus dubiaquercus,Mammals,NT-IUCN: 2008,"Belize, Guatemala, Honduras, Mexico, Nicaragua",Antrozous dubiaquercus
140,Vancouver Island Marmot,Endangered Mammals of North America**,Marmota vancouverensis,Mammals,"EN-US FWS: January 23, 1984CR-IUCN: 2008",Canada (Vancouver Island),Chinese Ferret Badger
141,Vaquita,Endangered Mammals of North America**,Phocoena sinus,Mammals,"CR-IUCN: 2008EN-US FWS: January 9, 1985",Mexico (Gulf of California),"Cochito, Gulf of California Porpoise"
142,Volcano Rabbit,Endangered Mammals of North America**,Romerolagus diazi,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Mexico,NA
143,Washington Ground Squirrel,Endangered Mammals of North America**,Spermophilus washingtoni,Mammals,NT-IUCN: 2008,"Oregon, Washington",NA
144,West Indian Manatee,Endangered Mammals of North America**,Trichechus manatus,Mammals,"EN-US FWS: March 11, 1967VU-IUCN: 2008","Caribbean Sea, South America, Southeastern USA","Sea Cow, Florida Manatee, American Manatee"
145,Western Gerbil,Endangered Mammals of North America**,Gerbillus hesperinus,Mammals,EN-IUCN: 2008,Mexico,NA
146,White-eared Pocket Mouse,Endangered Mammals of North America**,Perognathus alticolus,Mammals,EN-IUCN: 2008,California,Perognathus alticola
147,White-lipped Peccary,Endangered Mammals of North America**,Tayassu pecari,Mammals,T-US FWS:,"Central America, North America, South America",NA
148,White-sided Jackrabbit,Endangered Mammals of North America**,Lepus callotis,Mammals,NT-IUCN: 2008,"Arizona, Mexico, New Mexico",NA
149,White-tailed Deer,Endangered Mammals of North America**,Odocoileus virginianus,Mammals,"EN-US FWS: March 11, 1967","Florida, Oregon and Washington (along the Columbian River)","Also called the Virginia Deer.  2 subspecies endangered: Key Deer (Odocoileus virginianus clavium), Columbian White-tailed Deer (Odocoileus virginianus leucurus)"
150,Wolverine,Endangered Mammals of North America**,Gulo gulo,Mammals,NT-IUCN: 2008,"Canada, China, Estonia, Finland, Mongolia, Norway, Russia, Sweden, United States",NA
151,Woodland Caribou,Endangered Mammals of North America**,Rangifer tarandus caribou,Mammals,"EN-US FWS: January 14, 1983","British Columbia, Idaho, Washington",Reindeer
152,Yucatan Brown Brocket Deer,Endangered Mammals of North America**,Mazama pandora,Mammals,VU-IUCN: 2008,"Belize, Guatemala, Mexico",NA
153,Zempoaltepec Vole,Endangered Mammals of North America**,Microtus umbrosus,Mammals,EN-IUCN: 2008,Mexico,NA
