index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
1,Alcorn's Pocket Gopher,Endangered Mammals of North America**,Pappogeomys alcorni,Mammals,CR-IUCN: 2008,Mexico,NA
2,Allegheny Woodrat,Endangered Mammals of North America**,Neotoma magister,Mammals,NT-IUCN: 2008,"Alabama, Connecticut, Georgia, Indiana, Kentucky, Maryland, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia",Appalacian Woodrat
3,Allen's Cotton Rat,Endangered Mammals of North America**,Sigmodon alleni,Mammals,VU-IUCN: 2008,Mexico,NA
4,Amargosa Vole,Endangered Mammals of North America**,Microtus californicus scirpensis,Mammals,"EN-US FWS: November 15, 1984",California,"Formally Amargosa Meadow Mouse, Desert Vole"
5,American Bison,Endangered Mammals of North America**,Bison bison,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970",Canada,Wood Bison or Wood Buffalo - B. b. athabascae (US FWS)
6,Angel Island Mouse,Endangered Mammals of North America**,Peromyscus guardia,Mammals,CR-IUCN: 2008,Mexico,NA
7,Appalachian Cottontail,Endangered Mammals of North America**,Sylvilagus obscurus,Mammals,NT-IUCN: 2008,United States,"Allegheny Cottontail, Wood Rabbit"
8,Baja California Rock Squirrel,Endangered Mammals of North America**,Spermophilus atricapillus,Mammals,EN-IUCN: 2008,Mexico (Baja California),NA
9,Baker's Small Toothed Harvest Mouse,Endangered Mammals of North America**,Reithrodontomys bakeri,Mammals,EN-IUCN: 2008,Mexico,NA
10,Banana Bat,Endangered Mammals of North America**,Musonycteris harrisoni,Mammals,VU-IUCN: 2008,Mexico,NA
11,Banner-tailed Kangaroo Rat,Endangered Mammals of North America**,Dipodomys spectabilis,Mammals,NT-IUCN: 2008,"Arizona, Mexico, New Mexico, Texas",Phillips's Kangaroo Rat
12,Beach Mouse,Endangered Mammals of North America**,Peromyscus polionotus,Mammals,"EN-US FWS: June 6, 1985 except P. p. phasma - May 12, 1989, P. p. peninsularis - December 18, 1998","Alabama, Florida","Also called the Oldfield or Deer Mouse. 5 subspecies endangered: Choctawhatchee B. M. (P. p. allophrys), Alabama B. M. (P. p. ammobates), Anastasia I. B. M. (P. p. phasma), Perdido Key B. M. (P. p. trissyllepsis), St. Andrew B. M. (P. p. peninsularis)"
13,Beach Vole,Endangered Mammals of North America**,Microtus breweri,Mammals,VU-IUCN: 2008,Massachusetts,NA
14,Beluga,Endangered Mammals of North America**,Delphinapterus leucas,Mammals,NT-IUCN: 2008,"Asia, Europe, North America (including United States), Oceanic",White Whale
15,Big Mexican Small-eared Shrew,Endangered Mammals of North America**,Cryptotis magna,Mammals,VU-IUCN: 2008,Mexico,NA
16,Big Pocket Gopher,Endangered Mammals of North America**,Orthogeomys lanius,Mammals,CR-IUCN: 2008,Mexico,NA
17,Bighorn Sheep,Endangered Mammals of North America**,Ovis canadensis,Mammals,"EN-US FWS: March 18, 1998; (O. c. sierrae - April 20, 1999)",California,NA
18,Black Jackrabbit,Endangered Mammals of North America**,Lepus insularis,Mammals,NT-IUCN: 2008,Mexico (Baja California Sur),Espiritu Santo Jackrabbit
19,Black-footed Ferret,Endangered Mammals of North America**,Mustela nigripes,Mammals,"EN-US FWS: March 11, 1967EN-IUCN: 2008","Western Canada, Western USA",NA
20,Black-tailed Deer Mouse,Endangered Mammals of North America**,Peromyscus melanurus,Mammals,EN-IUCN: 2008,Mexico,Black-tailed Mouse
21,Black-wristed Deer Mouse,Endangered Mammals of North America**,Peromyscus melanocarpus,Mammals,EN-IUCN: 2008,Mexico,"Tempoaltepec, Zempoaltepec"
22,Blackbuck,Endangered Mammals of North America**,Antilope cervicapra,Mammals,NT-IUCN: 2008,"Argentina, India, United States",Indian Antelope
23,Brown Bear,Endangered Mammals of North America**,Ursus arctos,Mammals,"EN-US FWS: U. a. arctos - June 14, 1976, U. a. pruinosus - June 14, 1976, U. a. nelsoni - June 2, 1970","China (Tibet), Italy, Mexican Holarctic","3 subspecies endangered: European Brown Bear (Ursus arctos arctos), Tibetan Blue Bear (Ursus arctos pruinosus), Mexican Grizzly Bear or Mexican Brown Bear (Ursus arctos nelsoni)"
24,Bryant's Woodrat,Endangered Mammals of North America**,Neotoma bryanti,Mammals,EN-IUCN: 2008,Mexico,NA
25,Buena Vista Lake Ornate Shrew,Endangered Mammals of North America**,Sorex ornatus relictus,Mammals,"EN-US FWS: March 6, 2002",California,NA
26,Buller's Chipmunk,Endangered Mammals of North America**,Tamias bulleri,Mammals,VU-IUCN: 2008,Mexico,NA
27,Burt's Deer Mouse,Endangered Mammals of North America**,Peromyscus caniceps,Mammals,CR-IUCN: 2008,Mexico (Baja California Sur),Monserrat Island Deer Mouse
28,California Red Tree Mouse,Endangered Mammals of North America**,Arborimus pomo,Mammals,NT-IUCN: 2008,California,Sonoma Tree Vole
29,Catalina Deer Mouse,Endangered Mammals of North America**,Peromyscus slevini,Mammals,CR-IUCN: 2008,Mexico,Slevin's Mouse
30,Cedros Island Mule Deer,Endangered Mammals of North America**,Odocoileus hemionus cerrosensis,Mammals,"EN-US FWS: September 25, 1975",Mexico (Cedros Island),NA
31,Central American Tapir,Endangered Mammals of North America**,Tapirus bairdii,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southern Mexico to Colombia and Ecuador,Baird's Tapir
32,Chiapan Climbing Rat,Endangered Mammals of North America**,Tylomys bullaris,Mammals,CR-IUCN: 2008,Mexico,NA
33,Chiapan Deer Mouse,Endangered Mammals of North America**,Peromyscus zarhynchus,Mammals,VU-IUCN: 2008,Mexico,NA
34,Chihuahuan Deer Mouse,Endangered Mammals of North America**,Peromyscus polius,Mammals,NT-IUCN: 2008,Mexico,Chihuahuan Mouse
